symbol,iri,curie
DGlb,https://purl.brain-bican.org/ontology/mbao/MBA_766,MBA:766
DGlb-sg,https://purl.brain-bican.org/ontology/mbao/MBA_790,MBA:790
DGmb,https://purl.brain-bican.org/ontology/mbao/MBA_799,MBA:799
DGmb-sg,https://purl.brain-bican.org/ontology/mbao/MBA_823,MBA:823
DMH,https://purl.brain-bican.org/ontology/mbao/MBA_830,MBA:830
DMX,https://purl.brain-bican.org/ontology/mbao/MBA_839,MBA:839
DN,https://purl.brain-bican.org/ontology/mbao/MBA_846,MBA:846
DORpm,https://purl.brain-bican.org/ontology/mbao/MBA_856,MBA:856
DORsm,https://purl.brain-bican.org/ontology/mbao/MBA_864,MBA:864
DP,https://purl.brain-bican.org/ontology/mbao/MBA_814,MBA:814
DP1,https://purl.brain-bican.org/ontology/mbao/MBA_496,MBA:496
DP2,https://purl.brain-bican.org/ontology/mbao/MBA_535,MBA:535
DP2/3,https://purl.brain-bican.org/ontology/mbao/MBA_360,MBA:360
DP5,https://purl.brain-bican.org/ontology/mbao/MBA_646,MBA:646
DP6a,https://purl.brain-bican.org/ontology/mbao/MBA_267,MBA:267
DR,https://purl.brain-bican.org/ontology/mbao/MBA_872,MBA:872
DTN,https://purl.brain-bican.org/ontology/mbao/MBA_880,MBA:880
ECT,https://purl.brain-bican.org/ontology/mbao/MBA_895,MBA:895
ECT1,https://purl.brain-bican.org/ontology/mbao/MBA_836,MBA:836
ECT2/3,https://purl.brain-bican.org/ontology/mbao/MBA_427,MBA:427
ECT5,https://purl.brain-bican.org/ontology/mbao/MBA_988,MBA:988
ECT6a,https://purl.brain-bican.org/ontology/mbao/MBA_977,MBA:977
ECT6b,https://purl.brain-bican.org/ontology/mbao/MBA_1045,MBA:1045
ECU,https://purl.brain-bican.org/ontology/mbao/MBA_903,MBA:903
ENT,https://purl.brain-bican.org/ontology/mbao/MBA_909,MBA:909
ENTl,https://purl.brain-bican.org/ontology/mbao/MBA_918,MBA:918
ENTl1,https://purl.brain-bican.org/ontology/mbao/MBA_1121,MBA:1121
ENTl2,https://purl.brain-bican.org/ontology/mbao/MBA_20,MBA:20
ENTl3,https://purl.brain-bican.org/ontology/mbao/MBA_52,MBA:52
ENTl5,https://purl.brain-bican.org/ontology/mbao/MBA_139,MBA:139
ENTl6a,https://purl.brain-bican.org/ontology/mbao/MBA_28,MBA:28
ENTm,https://purl.brain-bican.org/ontology/mbao/MBA_926,MBA:926
ENTm1,https://purl.brain-bican.org/ontology/mbao/MBA_526,MBA:526
ENTm2,https://purl.brain-bican.org/ontology/mbao/MBA_543,MBA:543
ENTm3,https://purl.brain-bican.org/ontology/mbao/MBA_664,MBA:664
ENTm5,https://purl.brain-bican.org/ontology/mbao/MBA_727,MBA:727
ENTm6,https://purl.brain-bican.org/ontology/mbao/MBA_743,MBA:743
EP,https://purl.brain-bican.org/ontology/mbao/MBA_942,MBA:942
EPI,https://purl.brain-bican.org/ontology/mbao/MBA_958,MBA:958
EPd,https://purl.brain-bican.org/ontology/mbao/MBA_952,MBA:952
EPv,https://purl.brain-bican.org/ontology/mbao/MBA_966,MBA:966
EW,https://purl.brain-bican.org/ontology/mbao/MBA_975,MBA:975
Eth,https://purl.brain-bican.org/ontology/mbao/MBA_560581551,MBA:560581551
FC,https://purl.brain-bican.org/ontology/mbao/MBA_982,MBA:982
FF,https://purl.brain-bican.org/ontology/mbao/MBA_804,MBA:804
FL,https://purl.brain-bican.org/ontology/mbao/MBA_1049,MBA:1049
FLgr,https://purl.brain-bican.org/ontology/mbao/MBA_10690,MBA:10690
FLmo,https://purl.brain-bican.org/ontology/mbao/MBA_10692,MBA:10692
FLpu,https://purl.brain-bican.org/ontology/mbao/MBA_10691,MBA:10691
FN,https://purl.brain-bican.org/ontology/mbao/MBA_989,MBA:989
FOTU,https://purl.brain-bican.org/ontology/mbao/MBA_944,MBA:944
FOTUgr,https://purl.brain-bican.org/ontology/mbao/MBA_10726,MBA:10726
FOTUmo,https://purl.brain-bican.org/ontology/mbao/MBA_10728,MBA:10728
FOTUpu,https://purl.brain-bican.org/ontology/mbao/MBA_10727,MBA:10727
FS,https://purl.brain-bican.org/ontology/mbao/MBA_998,MBA:998
GENd,https://purl.brain-bican.org/ontology/mbao/MBA_1008,MBA:1008
GENv,https://purl.brain-bican.org/ontology/mbao/MBA_1014,MBA:1014
GPe,https://purl.brain-bican.org/ontology/mbao/MBA_1022,MBA:1022
GPi,https://purl.brain-bican.org/ontology/mbao/MBA_1031,MBA:1031
GRN,https://purl.brain-bican.org/ontology/mbao/MBA_1048,MBA:1048
GU,https://purl.brain-bican.org/ontology/mbao/MBA_1057,MBA:1057
GU1,https://purl.brain-bican.org/ontology/mbao/MBA_36,MBA:36
GU2/3,https://purl.brain-bican.org/ontology/mbao/MBA_180,MBA:180
GU4,https://purl.brain-bican.org/ontology/mbao/MBA_148,MBA:148
GU5,https://purl.brain-bican.org/ontology/mbao/MBA_187,MBA:187
GU6a,https://purl.brain-bican.org/ontology/mbao/MBA_638,MBA:638
GU6b,https://purl.brain-bican.org/ontology/mbao/MBA_662,MBA:662
HATA,https://purl.brain-bican.org/ontology/mbao/MBA_589508447,MBA:589508447
HB,https://purl.brain-bican.org/ontology/mbao/MBA_1065,MBA:1065
HEM,https://purl.brain-bican.org/ontology/mbao/MBA_1073,MBA:1073
HIP,https://purl.brain-bican.org/ontology/mbao/MBA_1080,MBA:1080
HPF,https://purl.brain-bican.org/ontology/mbao/MBA_1089,MBA:1089
HY,https://purl.brain-bican.org/ontology/mbao/MBA_1097,MBA:1097
I5,https://purl.brain-bican.org/ontology/mbao/MBA_549009227,MBA:549009227
