subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
193 MRN-PPN-CUN Pax8 Gaba,2,3,0,0,0,0,344,0,0,59,0,0,0,0,1,0,0,26,12,9,0,0,0,0,0
194 MRN-VTN-PPN Pax5 Cdh23 Gaba,6,3,0,0,0,0,767,0,0,93,0,0,0,0,0,0,0,45,13,21,0,0,2,0,0
195 SNr-VTA Pax5 Npas1 Gaba,0,2,0,1,38,0,1336,1,2,108,16,7,0,0,0,0,22,45,44,11,0,93,7,0,1
196 PAG-PPN Pax5 Sox21 Gaba,11,2,0,0,0,0,1099,0,0,14,0,0,0,0,0,0,0,11,14,7,0,3,4,0,0
197 SNr Six3 Gaba,0,50,0,34,326,3,1845,106,13,140,317,21,43,0,0,0,13,22,28,5,22,199,13,0,3
198 IC Six3 En2 Gaba,0,598,0,3,5,0,7543,0,0,32,0,0,10,0,0,0,25,0,294,0,4,0,0,0,67
199 PAG-MRN-RN Foxa2 Gaba,0,0,0,0,26,0,1062,0,0,6,0,0,0,0,0,0,0,5,22,27,0,0,5,0,0
200 PAG-ND-PCG Onecut1 Gaba,1,11,0,0,2,0,466,44,0,784,0,0,1,0,0,0,15,4,16,4,0,1,1,0,0
201 PAG-RN Nkx2-2 Otx1 Gaba,3,5,0,0,4,0,1940,1,0,25,0,0,0,0,0,0,3,3,14,6,0,0,6,0,1
202 PRT Tcf7l2 Gaba,0,0,0,13,61,0,3085,0,0,9,0,0,93,23,0,0,51,0,30,0,0,1,5,0,0
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,0,0,0,30,484,0,485,0,0,0,1,0,772,0,0,0,51,0,30,0,187,71,44,0,0
204 SC Otx2 Gcnt4 Gaba,0,0,0,5,0,10,337,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,15
205 SC-PAG Lef1 Emx2 Gaba,0,0,0,4,0,2,4367,0,0,1,0,0,0,0,0,0,4,0,31,0,0,0,0,0,12
206 SCm-PAG Cdh23 Gaba,0,1,0,0,1,0,1911,0,0,11,0,0,1,0,0,0,1,0,49,0,0,0,0,0,1
207 SCs Dmbx1 Gaba,0,4,0,36,9,77,4490,0,0,19,0,0,0,0,0,0,30,0,18,0,0,0,0,0,176
208 SC Lef1 Otx2 Gaba,0,0,0,28,0,69,1644,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,114
209 SCs Pax7 Nfia Gaba,2,0,0,40,0,6,3236,0,0,0,0,0,1,0,0,0,7,0,9,0,1,0,0,0,22
210 PRT Mecom Gaba,0,0,0,2,0,0,557,0,0,0,0,0,1,11,0,0,30,0,19,0,1,0,1,0,0
211 SC Tnnt1 Gli3 Gaba,0,0,0,16,0,18,1230,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,35
212 SCs Lef1 Gli3 Gaba,0,0,0,9,0,3,1897,0,0,1,0,0,0,0,0,0,5,0,8,0,0,0,0,0,5
