subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
056 Sst Chodl Gaba,0,0,156,93,40,826,0,0,365,0,560,1993,0,0,0,21,1,0,31,0,2,174,69,44,1
057 NDB-SI-MA-STRv Lhx8 Gaba,0,0,72,0,709,3,4,0,297,1,7322,1909,1,0,0,0,1,0,10,1,1,278,47,0,5
058 PAL-STR Gaba-Chol,0,0,1,0,128,1,0,0,37,0,1644,1447,1,2,0,1,2,0,1,0,4,82,13,0,2
059 GPe-SI Sox6 Cyp26b1 Gaba,0,0,3,0,27,0,0,0,7,0,775,128,0,0,0,0,0,0,0,0,0,161,4,0,0
060 OT D3 Folh1 Gaba,0,0,0,1,1,0,0,0,1757,0,486,9823,0,0,0,0,4,0,38,0,0,0,0,0,185
061 STR D1 Gaba,0,0,149,0,8,18,0,0,701,0,1502,106528,0,0,0,526,29,0,71,0,21,1828,65,0,90
062 STR D2 Gaba,0,0,598,0,17,33,0,0,443,0,1037,101322,0,0,0,502,16,0,86,0,9,1416,86,0,20
063 STR D1 Sema5a Gaba,0,0,162,0,3,32,0,0,1232,0,1165,7631,0,0,0,134,7,0,107,0,3,314,90,7,106
064 STR-PAL Chst9 Gaba,0,0,1706,10,110,111,0,0,576,0,1891,6428,12,1,0,64,11,0,106,0,25,927,309,9,1
065 IA Mgp Gaba,0,0,325,5,2,30,0,0,421,0,41,226,0,0,0,0,0,0,9,0,0,37,24,0,1
066 NDB-SI-ant Prdm12 Gaba,0,0,52,1,19,14,0,0,1439,0,406,1118,29,3,0,0,2,0,93,0,10,9,18,1,10
067 LSX Sall3 Pax6 Gaba,0,0,0,1,2,1,0,0,17,0,17,796,0,30,0,2,6,0,2,0,0,0,107,0,0
068 LSX Otx2 Gaba,0,0,0,0,9,0,0,0,1,0,24,1805,9,9,0,1,4,0,0,0,4,2,20,0,0
069 LSX Nkx2-1 Gaba,0,0,0,0,13,0,0,0,2,0,95,3943,0,0,0,0,2,0,0,0,0,8,36,0,0
070 LSX Prdm12 Slit2 Gaba,0,0,0,0,1,1,0,0,75,0,39,4577,0,43,0,4,4,0,0,0,0,3,83,0,0
