class,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
01 IT-ET Glut,0,0,23205,96355,17,440869,1,0,84615,0,79,4913,1,4,0,529,479,0,439,0,141,2976,1687,730,325
02 NP-CT-L6b Glut,0,0,3055,18976,0,131332,0,0,3455,0,0,793,0,0,0,11,19,0,78,0,0,3625,1755,4109,11
03 OB-CR Glut,0,0,12,1441,3,133,4,0,6481,0,15,61,2,5,0,3,70,0,1372,0,3,1,5,0,105
04 DG-IMN Glut,0,0,65,35055,0,15,0,0,102,0,0,319,0,0,0,14,29,0,1,0,45,157,175,5,0
05 OB-IMN GABA,0,0,137,233,1,350,1,0,62875,0,24,1577,1,0,0,2872,14,0,6123,0,9,3902,383,167,353
06 CTX-CGE GABA,0,0,1837,7633,20,26308,4,0,4886,0,131,906,11,2,0,37,60,0,153,0,18,432,305,158,317
07 CTX-MGE GABA,0,0,3835,16083,5,56559,0,0,6150,0,43,713,3,3,0,202,104,0,114,0,34,974,818,334,23
08 CNU-MGE GABA,0,0,489,105,976,847,4,0,750,1,9963,10225,4,2,0,54,9,0,83,1,11,615,179,44,8
09 CNU-LGE GABA,0,0,2943,16,168,224,0,0,5137,0,6897,232086,12,1,0,1226,67,0,417,0,58,4683,578,16,403
10 LSX GABA,0,0,0,139,25,4,0,0,128,0,346,16582,9,115,0,23,115,0,2,0,4,151,875,0,1
11 CNU-HYa GABA,0,1,902,27,8551,33,20,0,2259,5,10233,14810,68,60,0,64,76,0,368,1,161,158,709,1,21
12 HY GABA,0,1,0,6,27864,0,145,2,3,49,614,55,8170,142,0,2,159,0,284,114,477,974,243,0,17
13 CNU-HYa Glut,0,2,3448,78,3922,175,24,0,2636,5,3415,6546,299,1263,0,65,135,0,43,10,134,62,1184,0,52
14 HY Glut,0,3,0,0,25571,0,503,3,0,57,442,48,84,74,0,0,38,0,170,74,326,81,221,0,35
15 HY Gnrh1 Glut,0,0,0,1,27,0,0,0,1,0,23,3,0,0,0,0,0,0,2,0,0,0,0,0,0
16 HY MM Glut,0,0,0,0,3586,0,1,0,0,0,0,0,0,48,0,0,2,0,0,0,0,0,11,0,1
17 MH-LH Glut,0,0,0,8,0,0,11,0,0,0,0,0,5355,133,0,21,53,0,0,0,0,0,182,0,0
18 TH Glut,0,0,0,300,331,0,190,0,0,0,0,1,56752,55,0,0,433,0,74,0,101,161,380,0,3
19 MB Glut,26,2477,0,186,876,233,71519,13,0,538,13,0,2603,50,6,1,205,41,925,47,36,48,188,0,774
20 MB GABA,25,704,0,332,984,410,43930,152,15,1809,335,28,1149,34,2,0,381,176,793,117,234,381,91,0,853
21 MB Dopa,5,0,0,0,216,0,3525,0,0,20,0,0,9,3,0,0,0,10,96,104,0,26,61,0,0
22 MB-HB Sero,46,0,0,0,0,0,1216,440,0,1032,0,0,0,0,2,0,2,66,136,25,0,22,2,0,12
23 P Glut,6,1127,0,0,30,0,2406,3035,0,21131,4,1,4,0,80,133,370,1287,960,107,0,120,14,0,1645
24 MY Glut,0,2250,0,0,181,0,2332,16590,0,4639,34,2,19,0,357,167,113,816,507,115,1,218,5,0,169
25 Pineal Glut,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,12
26 P GABA,49,190,0,0,74,1,2593,2037,0,12685,0,0,0,0,37,7,47,441,657,200,0,18,6,0,8
27 MY GABA,0,1206,0,0,163,0,1243,16177,0,4202,2,1,5,0,764,325,163,419,704,158,0,69,2,0,382
28 CB GABA,66,105080,0,0,12,3,90,1516,0,146,1,0,5,0,338,49,39,2631,27,2,1,0,0,0,9967
29 CB Glut,3,161149,0,5,0,5,12,3570,0,727,0,1,0,0,388,89,26,11449,174,1,0,0,0,0,8199
30 Astro-Epen,2455,48523,9771,63049,23990,103636,47396,26899,39709,22475,14500,41208,19658,7899,6950,23465,4863,12886,10636,863,3206,23142,14829,3078,13605
31 OPC-Oligo,48,22314,4528,24187,20182,54816,65656,51098,17053,46528,19756,34765,24367,1547,1305,3908,3257,22834,22527,2434,5434,51914,26029,8230,4170
32 OEC,0,0,0,0,0,14,0,2,3573,0,0,0,0,0,0,0,0,0,5103,0,0,0,0,0,565
33 Vascular,158,36275,5342,35340,13607,104577,35623,23937,30323,18686,8938,30554,13914,774,1409,2009,6375,6632,9701,737,1701,7615,4109,1300,25994
34 Immune,23,1825,1178,5087,1520,15198,3403,2091,4203,1834,2077,5148,1301,100,98,199,242,768,1009,96,182,1905,867,301,556
