supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
0044 L2/3 IT PIR-ENTl Glut_6,0,0,261,772,0,34,0,0,2571,0,0,1,0,0,0,0,0,0,0,0,0,6,3,0,0
0045 L2/3 IT PIR-ENTl Glut_7,0,0,634,0,0,12,0,0,357,0,0,443,0,0,0,0,0,0,14,0,0,118,17,0,0
0046 IT AON-TT-DP Glut_1,0,0,47,22,0,385,0,0,5314,0,0,85,0,0,0,0,0,0,1,0,0,49,2,0,0
0047 IT AON-TT-DP Glut_2,0,0,0,0,0,0,0,0,3799,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0
0048 IT AON-TT-DP Glut_3,0,0,0,0,0,5,0,0,3665,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
0049 IT AON-TT-DP Glut_4,0,0,22,0,0,6,0,0,2124,0,0,61,0,0,0,0,0,0,23,0,0,0,0,0,0
0050 IT AON-TT-DP Glut_5,0,0,0,0,0,65,0,0,11093,0,0,1,0,0,0,0,0,0,262,0,0,0,0,0,0
0051 L2 IT ENT-po Glut_1,0,0,0,1763,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0052 L2 IT ENT-po Glut_2,0,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053 L2 IT ENT-po Glut_3,0,0,0,628,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0054 L2 IT ENT-po Glut_4,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0055 MEA Slc17a7 Glut_1,0,0,714,7,0,0,0,0,385,0,0,2079,0,0,0,0,1,0,2,0,37,0,23,0,1
0056 MEA Slc17a7 Glut_2,0,0,433,1,17,1,0,0,403,0,73,410,1,0,0,0,2,0,0,0,0,5,7,0,0
0057 MEA Slc17a7 Glut_3,0,0,190,1,0,0,0,0,645,0,0,567,0,0,0,0,1,0,1,0,10,0,0,0,9
0058 COAp Grxcr2 Glut_1,0,0,1272,22,0,12,0,0,1269,0,0,8,0,0,0,0,0,0,0,0,0,2,6,0,0
0059 COAp Grxcr2 Glut_2,0,0,443,10,0,1,0,0,4443,0,0,104,0,0,0,0,4,0,0,0,2,8,6,0,0
0060 LA-BLA-BMA-PA Glut_1,0,0,1869,197,0,0,0,0,457,0,0,79,0,0,0,0,26,0,0,0,0,0,16,0,0
0061 LA-BLA-BMA-PA Glut_2,0,0,2969,59,0,1,0,0,479,0,0,1,0,0,0,7,45,0,0,0,0,15,21,0,0
0062 LA-BLA-BMA-PA Glut_3,0,0,2352,0,0,22,0,0,11,0,1,249,0,0,0,0,0,0,0,0,0,70,44,0,0
0063 LA-BLA-BMA-PA Glut_4,0,0,1312,39,0,3,0,0,88,0,2,25,0,0,0,0,2,0,0,0,1,5,10,0,0
0064 LA-BLA-BMA-PA Glut_5,0,0,1688,8,0,0,0,0,4,0,1,124,0,0,0,5,5,0,0,0,0,24,17,0,3
0065 LA-BLA-BMA-PA Glut_6,0,0,793,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,5,18,0,0
0066 ENTmv-PA-COAp Glut_1,0,0,452,739,0,0,0,0,463,0,0,0,0,0,0,0,22,0,0,0,0,1,34,0,0
0067 ENTmv-PA-COAp Glut_2,0,0,23,573,0,2,0,0,78,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0068 ENTmv-PA-COAp Glut_3,0,0,10,251,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0069 CA1-ProS Glut_1,0,0,70,12922,0,0,0,0,2,0,0,0,0,0,0,7,36,0,0,0,6,84,118,0,0
0070 CA1-ProS Glut_2,0,0,13,4178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0,0
0071 CA1-ProS Glut_3,0,0,44,1248,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,11,23,0,0
0072 CA1-ProS Glut_4,0,0,44,3813,0,1,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,22,0,0
0073 CA1-ProS Glut_5,0,0,516,937,0,1,0,0,6,0,0,0,0,0,0,8,66,0,0,0,15,2,114,0,0
0074 CA1-ProS Glut_6,0,0,1,744,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0075 CA3 Glut_1,0,0,58,1577,0,0,0,0,0,0,0,6,0,0,0,311,22,0,0,0,19,2,315,0,0
0076 CA3 Glut_2,0,0,390,864,0,0,0,0,9,0,0,37,0,0,0,5,8,0,0,0,2,0,14,0,0
0077 CA3 Glut_3,0,0,169,5023,0,0,0,0,0,0,0,0,0,0,0,165,41,0,0,0,31,0,304,0,0
0078 CA3 Glut_4,0,0,0,5599,0,1,1,0,0,0,0,0,0,0,0,2,3,0,0,0,14,0,89,0,0
0079 CA3 Glut_5,0,0,0,1248,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
0080 L2 IT PPP-APr Glut_1,0,0,0,916,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0081 L2 IT PPP-APr Glut_2,0,0,0,787,0,0,0,0,0,0,0,0,0,0,0,0,22,0,9,0,3,0,0,0,0
0082 L2 IT PPP-APr Glut_3,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,0,0,0,0
0083 L2 IT PPP-APr Glut_4,0,0,0,471,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0
0084 L2/3 IT PPP Glut_1,0,0,0,2666,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0085 L2/3 IT PPP Glut_2,0,0,0,7013,0,114,0,0,0,0,0,0,0,0,0,0,59,0,2,0,1,29,73,0,1
0086 L2/3 IT PPP Glut_3,0,0,0,4479,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,145
0087 L2/3 IT RSP Glut_1,0,0,0,2,0,4432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
0088 L2/3 IT RSP Glut_2,0,0,0,253,0,9848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0
0089 L4 RSP-ACA Glut_1,0,0,0,42,0,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
0090 L5 ET CTX Glut_1,0,0,8,7,0,11431,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0091 L5 ET CTX Glut_2,0,0,10,111,0,15289,0,0,628,0,0,8,0,0,0,1,0,0,0,0,0,52,0,0,2
0092 L5 ET CTX Glut_3,0,0,0,26,0,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0093 L5 ET CTX Glut_4,0,0,0,8,0,1251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0094 L5 ET CTX Glut_5,0,0,3,4,0,3025,0,0,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0095 L5 ET CTX Glut_6,0,0,0,389,0,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,1,0
0096 SUB-ProS Glut_1,0,0,0,3231,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,2,0,0
0097 SUB-ProS Glut_2,0,0,306,2324,0,3,0,0,55,0,0,1,0,0,0,0,27,0,0,0,0,73,116,0,0
0098 SUB-ProS Glut_3,0,0,4,1483,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,28,0,0
0099 L5 PPP Glut_1,0,0,0,455,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0
0100 CA2-FC-IG Glut_1,0,0,1,1087,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0
0101 CA2-FC-IG Glut_2,0,0,0,476,0,3,0,0,0,0,0,7,0,4,0,2,36,0,0,0,0,231,5,0,0
0102 NLOT Rho Glut_1,0,0,54,0,0,0,0,0,341,0,0,81,0,0,0,0,1,0,0,0,0,0,10,0,1
0103 L6b EPd Glut_1,0,0,325,1,0,107,0,0,535,0,0,28,0,0,0,0,0,0,39,0,0,29,2,1,0
0104 L6b EPd Glut_2,0,0,474,2,0,142,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,40,22,0,0
0105 L6b EPd Glut_3,0,0,1264,34,0,179,0,0,101,0,0,9,0,0,0,5,0,0,0,0,0,114,60,0,0
0106 L6b/CT ENT Glut_1,0,0,234,4749,0,470,0,0,200,0,0,1,0,0,0,5,0,0,0,0,0,442,121,6,0
0107 L6b/CT ENT Glut_2,0,0,155,643,0,117,0,0,228,0,0,5,0,0,0,1,2,0,6,0,0,215,104,31,0
0108 L6b/CT ENT Glut_3,0,0,30,642,0,253,0,0,45,0,0,5,0,0,0,0,0,0,0,0,0,107,72,23,0
0109 L6b/CT ENT Glut_4,0,0,0,5815,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,21,3,0
0110 L6b CTX Glut_1,0,0,68,28,0,4845,0,0,530,0,0,109,0,0,0,0,0,0,11,0,0,428,240,893,0
0111 L6b CTX Glut_2,0,0,28,190,0,3368,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,512,227,1613,0
0112 L6b CTX Glut_3,0,0,34,66,0,2256,0,0,207,0,0,30,0,0,0,0,0,0,18,0,0,257,271,690,0
0113 L6b CTX Glut_4,0,0,1,21,0,326,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,7,9,6,2
0114 L6 CT CTX Glut_1,0,0,50,178,0,44440,0,0,18,0,0,26,0,0,0,0,0,0,0,0,0,121,113,332,6
0115 L6 CT CTX Glut_2,0,0,1,60,0,40145,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,113,73,335,2
0116 L6 CT CTX Glut_3,0,0,1,76,0,5178,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,61,97,0,0
0117 L6 CT CTX Glut_4,0,0,0,107,0,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,0,0
0118 L6 CT CTX Glut_5,0,0,169,72,0,10504,0,0,1167,0,0,531,0,0,0,0,0,0,4,0,0,777,106,173,0
0119 L6 CT CTX Glut_6,0,0,0,0,0,693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0
0120 CT SUB Glut_1,0,0,2,1406,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0
0121 CT SUB Glut_2,0,0,72,830,0,19,0,0,48,0,0,0,0,0,0,0,3,0,0,0,0,57,36,0,0
0122 L5 NP CTX Glut_1,0,0,0,26,0,1089,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0
0123 L5 NP CTX Glut_2,0,0,8,22,0,5877,0,0,275,0,0,20,0,0,0,0,0,0,0,0,0,21,2,0,0
0124 L5 NP CTX Glut_3,0,0,1,25,0,6501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0125 L5 NP CTX Glut_4,0,0,2,52,0,3173,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,12,1,0,0
0126 L5 NP CTX Glut_5,0,0,0,4,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
0127 NP SUB Glut_1,0,0,136,950,0,26,0,0,40,0,0,1,0,0,0,0,13,0,0,0,0,94,73,0,0
