subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
001 CLA-EPd-CTX Car3 Glut,0.0,0.0,0.11155206003319143,0.0062053539216393675,0.0,0.7709791471246121,0.0,0.0,0.05967241503715997,0.0,0.0,0.000721552781585973,0.0,0.0,0.0,0.0002164658344757919,0.0,0.0,7.21552781585973e-05,0.0,0.0,0.03348004906558915,0.0008658633379031676,0.01623493758568439,0.0
002 IT EP-CLA Glut,0.0,0.0,0.2837185929648241,0.0392964824120603,0.0,0.367035175879397,0.0,0.0,0.2163819095477387,0.0,0.0,0.008542713567839196,0.0,0.0,0.0,0.0007035175879396985,0.00010050251256281407,0.0,0.001206030150753769,0.0,0.0,0.06613065326633166,0.009346733668341708,0.007336683417085427,0.00020100502512562814
003 L5/6 IT TPE-ENT Glut,0.0,0.0,0.05309443576888304,0.24714391386537354,0.0,0.666721459686036,0.0,0.0,0.023506205309443577,0.0,8.218952905399852e-05,0.0023013068135119587,0.0,0.0,0.0,0.0,0.0,0.0,8.218952905399852e-05,0.0,0.0,0.004766992685131914,0.0013150324648639764,0.0004931371743239912,0.0004931371743239912
004 L6 IT CTX Glut,0.0,0.0,0.0024177441395984442,0.005588843337187708,0.0,0.9655208661831178,0.0,0.0,0.001594309541329409,0.0,0.0,0.004958127474683766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012333999088965977,0.0005080766670170644,0.007042993797960685,3.503977013910789e-05
005 L5 IT CTX Glut,0.0,0.0,0.00019826190397515117,0.0046261110927535275,0.0,0.9935234444701451,0.0,0.0,0.0001321746026501008,0.0,0.0,3.30436506625252e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012226150745134323,3.30436506625252e-05,0.00023130555463767637,0.0
006 L4/5 IT CTX Glut,0.0,0.0,6.429214350006429e-05,0.0033174746046033174,0.0,0.9954352578114954,0.0,0.0,0.0008357978655008358,0.0,0.0,7.072135785007072e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.072135785007072e-05,0.0,0.0,0.00012215507265012215,4.5004500450045e-05,0.0,3.8575286100038574e-05
007 L2/3 IT CTX Glut,0.0,0.0,0.00036950666754253435,0.0019296459304999015,0.0,0.986927675228273,0.0,0.0,0.009114497799382512,0.0,0.0,2.4633777836168955e-05,0.0,0.0,0.0,8.211259278722984e-06,0.0,0.0,0.00036129540826381135,0.0,0.0,0.0002627602969191355,9.853511134467582e-05,0.00013138014845956775,0.0007718583721999606
008 L2/3 IT ENT Glut,0.0,0.0,0.0023488971641363507,0.9083930105986823,0.0,0.05024348324262389,0.0,0.0,0.0386135777714122,0.0,0.0,5.729017473503294e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.729017473503294e-05,0.0,0.0,0.0002864508736751647
009 L2/3 IT PIR-ENTl Glut,0.0,0.0,0.03131093445327734,0.0834520773961302,0.0,0.05997825108744563,0.0,0.0,0.8127718614069297,0.0,1.8749062546872656e-05,0.008699565021748913,0.0,0.0,0.0,0.0,0.0,0.0,0.0002999850007499625,0.0,0.0,0.0025498725063746812,0.00037498125093745314,0.0,0.000543722813859307
010 IT AON-TT-DP Glut,0.0,0.0,0.002548382331215837,0.000812527699807948,0.0,0.01702614861870291,0.0,0.0,0.9600753434776186,0.0,0.0,0.0055399615895996455,0.0,0.0,0.0,0.0,0.0,0.0,0.012114049342591224,0.0,0.0,0.0018097207859358842,7.386615452799527e-05,0.0,0.0
011 L2 IT ENT-po Glut,0.0,0.0,0.0,0.9850280723643169,0.0,0.013100436681222707,0.0,0.0,0.0012476606363069245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002079434393844874,0.0,0.0004158868787689748
012 MEA Slc17a7 Glut,0.0,0.0,0.2218718884832393,0.0014935280451377365,0.002821108529704613,0.00016594756057085962,0.0,0.0,0.23780285429804182,0.0,0.012114171921672752,0.507135745104547,0.00016594756057085962,0.0,0.0,0.0,0.0006637902422834385,0.0,0.0004978426817125788,0.0,0.007799535346830402,0.000829737802854298,0.004978426817125788,0.0,0.001659475605708596
013 COAp Grxcr2 Glut,0.0,0.0,0.22530215449290594,0.004203888596952181,0.0,0.0017078297425118234,0.0,0.0,0.7503941145559643,0.0,0.0,0.014713610089332634,0.0,0.0,0.0,0.0,0.0005254860746190226,0.0,0.0,0.0,0.0002627430373095113,0.0013137151865475565,0.0015764582238570678,0.0,0.0
014 LA-BLA-BMA-PA Glut,0.0,0.0,0.8320454545454545,0.022954545454545453,0.0,0.00196969696969697,0.0,0.0,0.0787121212121212,0.0,0.00030303030303030303,0.03833333333333333,0.0,0.0,0.0,0.0009090909090909091,0.005909090909090909,0.0,0.0,0.0,7.575757575757576e-05,0.009015151515151516,0.009545454545454546,0.0,0.00022727272727272727
015 ENTmv-PA-COAp Glut,0.0,0.0,0.17623546511627908,0.5679505813953488,0.0,0.0007267441860465116,0.0,0.0,0.2311046511627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008357558139534883,0.0,0.0,0.0,0.0,0.0003633720930232558,0.015261627906976744,0.0,0.0
016 CA1-ProS Glut,0.0,0.0,0.027368923542047896,0.9484445858859097,0.0,0.00011934123637520884,0.0,0.0,0.0006364865940011138,0.0,0.0,3.9780412125069614e-05,0.0,0.0,0.0,0.0005967061818760442,0.00517145357625905,0.0,0.0,0.0,0.0008353886546264619,0.004574747394383006,0.012212586522396372,0.0,0.0
017 CA3 Glut,0.0,0.0,0.03764720239184819,0.8732076392702423,0.0,6.101653548111538e-05,6.101653548111538e-05,0.0,0.0005491488193300384,0.0,0.0,0.0062847031545548845,0.0,0.0,0.0,0.02947098663737873,0.004515223625602538,0.0,0.0,0.0,0.004027091341753615,0.00012203307096223076,0.044053938617365306,0.0,0.0
018 L2 IT PPP-APr Glut,0.0,0.0,0.0,0.9001452432824982,0.0,0.07080610021786492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014161220043572984,0.0,0.007625272331154684,0.0,0.0010893246187363835,0.0039941902687000725,0.002178649237472767,0.0,0.0
019 L2/3 IT PPP Glut,0.0,0.0,0.0,0.9520543339385381,0.0,0.025889314773720664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003967453432855894,0.0,0.00013448994687647098,0.0,6.724497343823549e-05,0.0020173492031470646,0.004908883060991191,0.0,0.010960930670432386
020 L2/3 IT RSP Glut,0.0,0.0,0.0,0.01749811294860358,0.0,0.9798943251218006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002470321828038153,0.00013724010155767515,0.0,0.0
021 L4 RSP-ACA Glut,0.0,0.0,0.0,0.016786570743405275,0.0,0.9808153477218226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002398081534772182,0.0,0.0,0.0
022 L5 ET CTX Glut,0.0,0.0,0.0005573248407643312,0.014463906581740977,0.0,0.9618895966029724,0.0,0.0,0.019851380042462844,0.0,0.0,0.00023885350318471338,0.0,0.0,0.0,2.653927813163482e-05,0.0,0.0,0.0,0.0,0.0,0.0028131634819532907,7.961783439490445e-05,2.653927813163482e-05,5.307855626326964e-05
023 SUB-ProS Glut,0.0,0.0,0.04011906302575385,0.9108321470169536,0.0,0.0005176653293645658,0.0,0.0,0.0071178982787627795,0.0,0.0,0.0002588326646822829,0.0,0.0,0.0,0.0,0.0038824899702342435,0.0,0.0,0.0,0.0,0.018377119192442087,0.01889478452180665,0.0,0.0
024 L5 PPP Glut,0.0,0.0,0.0,0.9558823529411765,0.0,0.02100840336134454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.014705882352941176,0.0,0.0
025 CA2-FC-IG Glut,0.0,0.0,0.0005376344086021505,0.8403225806451613,0.0,0.0016129032258064516,0.0,0.0,0.0,0.0,0.0,0.003763440860215054,0.0,0.002150537634408602,0.0,0.003763440860215054,0.01935483870967742,0.0,0.0,0.0,0.0,0.12419354838709677,0.004301075268817204,0.0,0.0
026 NLOT Rho Glut,0.0,0.0,0.11065573770491803,0.0,0.0,0.0,0.0,0.0,0.6987704918032787,0.0,0.0,0.16598360655737704,0.0,0.0,0.0,0.0,0.0020491803278688526,0.0,0.0,0.0,0.0,0.0,0.020491803278688523,0.0,0.0020491803278688526
027 L6b EPd Glut,0.0,0.0,0.5859130928713434,0.010508378301618859,0.0,0.12155637602953706,0.0,0.0,0.1823345640443056,0.0,0.0,0.011076398750355012,0.0,0.0,0.0,0.0014200511218403862,0.0,0.0,0.011076398750355012,0.0,0.0,0.051973871059358134,0.02385685884691849,0.00028401022436807724,0.0
028 L6b/CT ENT Glut,0.0,0.0,0.027585752847455396,0.780104022647969,0.0,0.07544933833695437,0.0,0.0,0.03114095727170979,0.0,0.0,0.0007242083086444137,0.0,0.0,0.0,0.00039502271380604387,0.00013167423793534794,0.0,0.00039502271380604387,0.0,0.0,0.05899005859503588,0.020936203831720325,0.004147738494963461,0.0
029 L6b CTX Glut,0.0,0.0,0.007564383878045964,0.01761173345651923,0.0,0.6233398775840167,0.0,0.0,0.0437117450051969,0.0,0.0,0.008430534703776417,0.0,0.0,0.0,0.0,0.0,0.0,0.0016745582630788775,0.0,0.0,0.06952303961196443,0.043134311121376605,0.1848943295992609,0.00011548677676406051
