neurotransmitter,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
Chol,0.0004655493482309125,0.0016294227188081937,0.00011638733705772812,0.0,0.04224860335195531,0.00011638733705772812,0.0550512104283054,0.1854050279329609,0.004189944134078212,0.10719273743016759,0.14513500931098697,0.1688780260707635,0.24720670391061453,0.010242085661080074,0.0013966480446927375,0.003957169459962756,0.00186219739292365,0.002211359404096834,0.007565176908752328,0.0025605214152700185,0.0004655493482309125,0.009543761638733706,0.002211359404096834,0.0,0.00034916201117318437
Dopa,0.0005986590038314176,0.0,0.0,0.00023946360153256704,0.14379789272030652,0.003951149425287357,0.4580938697318008,0.0017959770114942528,0.21336206896551724,0.015086206896551725,0.0016762452107279694,0.002274904214559387,0.0020354406130268198,0.0029932950191570882,0.00011973180076628352,0.0,0.0005986590038314176,0.0011973180076628352,0.11889367816091954,0.014008620689655173,0.0004789272030651341,0.003352490421455939,0.009219348659003831,0.0,0.006226053639846743
GABA,0.00016912229555329165,0.13866283322796746,0.013439853534723089,0.03219900593672947,0.049909868554393624,0.11320321654499257,0.06203298421659466,0.0006751469417722674,0.10463435357029247,0.010682891669116255,0.03619217124840441,0.3686154655628081,0.012655985117237992,0.00044830830726031275,0.000268448088179828,0.003826727497003448,0.0013529783644263332,0.0033676812662159425,0.010136599809670306,0.0004134100557969351,0.0013274757960492496,0.013786151568475067,0.005279031654056318,0.0008576916417345504,0.015862597530546037
GABA-Glyc,0.0001269003324788711,0.09822085733864623,0.0,2.538006649577422e-05,0.0027918073145351643,7.614019948732266e-05,0.03989746453135707,0.48341412654501154,0.0,0.2558564503438999,7.614019948732266e-05,2.538006649577422e-05,0.00017766046547041954,2.538006649577422e-05,0.023375041242608054,0.009314484403949138,0.005279053831121037,0.029161696403644577,0.030963681124844548,0.006877998020354813,2.538006649577422e-05,0.002157305652140809,2.538006649577422e-05,0.0,0.012106291718484303
Glut,3.5503369798567475e-05,0.12636027006733555,0.023045463953504184,0.11474538040727653,0.025094083929966204,0.4327014740696984,0.05765898333456714,0.016325506980566815,0.0735357881521478,0.019546493551228342,0.0029626429010634393,0.010465184791262848,0.047674227121855116,0.001679989243234342,0.0008256421955283883,0.006046903728458141,0.0015485512358949644,0.010419105949609387,0.0037029259309059102,0.00024399124350930415,0.0010696334390376924,0.006309779743136896,0.005774207632771272,0.0036591132617927844,0.008569153765849989
Glut-GABA,0.001946787800129786,0.0023794073112697383,0.009517629245078953,0.08500973393900065,0.28077006272982913,0.07678996322734155,0.07116590958252217,0.048020765736534715,0.040666234047155525,0.17585983127839067,0.10058403634003893,0.04866969500324465,0.001946787800129786,0.0015141682889898333,0.004109885355829548,0.0023794073112697383,0.0028120268224096907,0.001946787800129786,0.014925373134328358,0.0012978585334198572,0.003893575600259572,0.008219770711659096,0.012113346311918667,0.001946787800129786,0.0015141682889898333
Hist,0.0,0.0,0.0,0.0,0.9864253393665159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013574660633484163,0.0,0.0
Nora,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.01680672268907563,0.2,0.0,0.7008403361344537,0.0,0.0,0.0,0.0,0.0,0.0016806722689075631,0.008403361344537815,0.005042016806722689,0.0033613445378151263,0.0067226890756302525,0.0,0.0,0.0,0.0,0.0
Sero,0.011668611435239206,0.0,0.0,0.0,0.0,0.0,0.39595488136911705,0.16608323609490472,0.0,0.33177751847530146,0.0,0.0,0.0,0.0,0.0007779074290159471,0.0,0.0007779074290159471,0.020225593154414623,0.049008168028004666,0.009723842862699339,0.0,0.008556981719175419,0.0007779074290159471,0.0,0.004667444574095682
