supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
0382 ACB-BST-FS D1 Gaba_2,0.0,0.0,0.01855287569573284,0.0,0.01020408163265306,0.0,0.0,0.0,0.012987012987012988,0.0,0.31261595547309834,0.6103896103896104,0.0,0.0,0.0,0.0009276437847866419,0.0,0.0,0.00927643784786642,0.0,0.0,0.0037105751391465678,0.021335807050092765,0.0,0.0
0383 ACB-BST-FS D1 Gaba_3,0.0,0.0,0.0026845637583892616,0.0,0.01879194630872483,0.0,0.0,0.0,0.0,0.0,0.6442953020134228,0.3046979865771812,0.0,0.0,0.0,0.0,0.0,0.0,0.020134228187919462,0.0,0.0,0.0,0.009395973154362415,0.0,0.0
0384 CEA-BST Ebf1 Pdyn Gaba_1,0.0,0.0,0.007743362831858407,0.0,0.012168141592920354,0.0,0.0,0.0,0.00331858407079646,0.0,0.3838495575221239,0.49004424778761063,0.0,0.0,0.0,0.0011061946902654867,0.0,0.0,0.00331858407079646,0.0,0.0011061946902654867,0.029867256637168143,0.06747787610619468,0.0,0.0
0385 CEA-BST Ebf1 Pdyn Gaba_2,0.0,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29012345679012347,0.654320987654321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006172839506172839,0.037037037037037035,0.0,0.0
0386 CEA-BST Ebf1 Pdyn Gaba_3,0.0,0.0,0.0011148272017837235,0.0,0.0,0.0011148272017837235,0.0,0.0,0.0,0.0,0.27759197324414714,0.6889632107023411,0.0,0.0,0.0,0.0,0.0011148272017837235,0.0,0.0,0.0,0.0,0.005574136008918618,0.024526198439241916,0.0,0.0
0387 CEA-BST Ebf1 Pdyn Gaba_4,0.0,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,0.0032258064516129032,0.0,0.4838709677419355,0.3935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064516129032258064,0.01935483870967742,0.03870967741935484,0.0,0.0064516129032258064
0388 CEA-BST Ebf1 Pdyn Gaba_5,0.0,0.0,0.0,0.0,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.24503311258278146,0.6688741721854304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019867549668874173,0.052980132450331126,0.0,0.0
0389 CEA-BST Ebf1 Pdyn Gaba_6,0.0,0.0,0.0,0.0,0.010752688172043012,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043010752688172046,0.11827956989247312,0.0,0.0
0390 CEA-BST Ebf1 Pdyn Gaba_7,0.0,0.0,0.0,0.0,0.03361344537815126,0.0,0.0,0.0,0.0,0.0,0.4369747899159664,0.4957983193277311,0.0,0.0,0.0,0.0,0.0,0.0,0.01680672268907563,0.0,0.0,0.0,0.01680672268907563,0.0,0.0
0391 CEA-BST Ebf1 Pdyn Gaba_8,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.0,0.0,0.29081632653061223,0.5255102040816326,0.0,0.0,0.0,0.0,0.00510204081632653,0.0,0.00510204081632653,0.0,0.0,0.03571428571428571,0.1326530612244898,0.0,0.0
0392 CEA-BST Rai14 Pdyn Crh Gaba_1,0.0,0.0,0.02066115702479339,0.0,0.01652892561983471,0.0,0.0,0.0,0.0,0.0,0.39669421487603307,0.4132231404958678,0.0,0.0,0.0,0.012396694214876033,0.004132231404958678,0.0,0.008264462809917356,0.0,0.004132231404958678,0.012396694214876033,0.1115702479338843,0.0,0.0
0393 CEA-BST Rai14 Pdyn Crh Gaba_2,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.6320346320346321,0.23376623376623376,0.0,0.0,0.0,0.004329004329004329,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.021645021645021644,0.0,0.0
0394 BST-SI-AAA Six3 Slc22a3 Gaba_1,0.0,0.0,0.008695652173913044,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.43043478260869567,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0395 BST-SI-AAA Six3 Slc22a3 Gaba_2,0.0,0.0,0.0125,0.0,0.20416666666666666,0.0,0.0,0.0,0.008333333333333333,0.0,0.5708333333333333,0.20416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0396 SI-MPO-LPO Lhx8 Gaba_1,0.0,0.0,0.0,0.0,0.08959338387319091,0.0,0.0,0.0,0.0013783597518952446,0.0,0.7284631288766368,0.1695382494831151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007580978635423846,0.0027567195037904893,0.0,0.0006891798759476223
0397 SI-MPO-LPO Lhx8 Gaba_2,0.0,0.0,0.0,0.0,0.6134361233480177,0.0,0.0,0.0,0.0,0.0,0.2092511013215859,0.1685022026431718,0.0,0.0011013215859030838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007709251101321586,0.0,0.0
0398 SI-MPO-LPO Lhx8 Gaba_3,0.0,0.0,0.0,0.0,0.8004750593824228,0.0,0.0,0.0,0.0,0.0,0.08788598574821853,0.06413301662707839,0.004750593824228029,0.0,0.0,0.0,0.019002375296912115,0.0,0.0023752969121140144,0.0,0.0,0.0,0.021377672209026127,0.0,0.0
0399 SI-MPO-LPO Lhx8 Gaba_4,0.0,0.0,0.0,0.0,0.7472527472527473,0.0,0.0,0.0,0.0,0.0,0.10622710622710622,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003663003663003663,0.0,0.0
0400 SI-MPO-LPO Lhx8 Gaba_5,0.0,0.0,0.0,0.0,0.460431654676259,0.0,0.0,0.0,0.0,0.0,0.36330935251798563,0.14028776978417265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.007194244604316547,0.0,0.0
0401 SI-MPO-LPO Lhx8 Gaba_6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0402 MPO-ADP Lhx8 Gaba_1,0.0,0.0,0.0,0.0,0.6561085972850679,0.0,0.004524886877828055,0.0,0.0,0.0,0.27149321266968324,0.02262443438914027,0.0,0.0,0.0,0.0,0.0,0.0,0.004524886877828055,0.0,0.004524886877828055,0.0,0.03619909502262444,0.0,0.0
0403 MPO-ADP Lhx8 Gaba_2,0.0,0.0,0.0,0.0,0.7345537757437071,0.0,0.0,0.0,0.0,0.0,0.12128146453089245,0.14416475972540047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0404 MPO-ADP Lhx8 Gaba_3,0.0,0.0,0.0,0.0,0.7869918699186992,0.0,0.011382113821138212,0.0,0.0,0.0,0.15609756097560976,0.008130081300813009,0.0,0.011382113821138212,0.0,0.0,0.008130081300813009,0.0,0.004878048780487805,0.0,0.00975609756097561,0.0,0.0032520325203252032,0.0,0.0
