taxonomy_level,cell_set,cell_count,percentage_of_total
neurotransmitter,Glut,1323818,35.397
neurotransmitter,GABA,745023,19.921
neurotransmitter,GABA-Glyc,39401,1.054
neurotransmitter,Chol,8592,0.23
neurotransmitter,Dopa,8352,0.223
neurotransmitter,Glut-GABA,4623,0.124
neurotransmitter,Sero,2571,0.069
neurotransmitter,Nora,595,0.016
neurotransmitter,Hist,221,0.006
class,01 IT-ET Glut,657365,17.577
class,30 Astro-Epen,588691,15.741
class,31 OPC-Oligo,538887,14.409
class,33 Vascular,425630,11.381
class,09 CNU-LGE GABA,254932,6.816
class,29 CB Glut,185798,4.968
class,02 NP-CT-L6b Glut,167219,4.471
class,28 CB GABA,119973,3.208
class,07 CTX-MGE GABA,85997,2.299
class,19 MB Glut,80805,2.161
class,05 OB-IMN GABA,79022,2.113
class,18 TH Glut,58781,1.572
class,20 MB GABA,52935,1.415
class,34 Immune,51211,1.369
class,06 CTX-CGE GABA,43218,1.156
class,12 HY GABA,39321,1.051
class,11 CNU-HYa GABA,38528,1.03
class,04 DG-IMN Glut,35982,0.962
class,23 P Glut,32460,0.868
class,24 MY Glut,28515,0.762
class,14 HY Glut,27730,0.741
class,27 MY GABA,25985,0.695
class,08 CNU-MGE GABA,24370,0.652
class,13 CNU-HYa Glut,23498,0.628
class,26 P GABA,19050,0.509
class,10 LSX GABA,18519,0.495
class,03 OB-CR Glut,9716,0.26
class,32 OEC,9257,0.248
class,17 MH-LH Glut,5763,0.154
class,21 MB Dopa,4075,0.109
class,16 HY MM Glut,3649,0.098
class,22 MB-HB Sero,3001,0.08
class,15 HY Gnrh1 Glut,57,0.002
class,25 Pineal Glut,21,0.001
subclass,327 Oligo NN,476819,12.749
subclass,319 Astro-TE NN,294884,7.885
subclass,333 Endo NN,263210,7.038
subclass,318 Astro-NT NN,192666,5.152
subclass,314 CB Granule Glut,184028,4.921
subclass,006 L4/5 IT CTX Glut,155540,4.159
subclass,007 L2/3 IT CTX Glut,121784,3.256
subclass,061 STR D1 Gaba,111536,2.982
subclass,030 L6 CT CTX Glut,106806,2.856
subclass,062 STR D2 Gaba,105585,2.823
subclass,311 CBX MLI Megf11 Gaba,76170,2.037
subclass,330 VLMC NN,70506,1.885
subclass,326 OPC NN,62068,1.66
subclass,004 L6 IT CTX Glut,57078,1.526
subclass,009 L2/3 IT PIR-ENTl Glut,53336,1.426
subclass,334 Microglia NN,48745,1.303
subclass,331 Peri NN,46134,1.234
subclass,052 Pvalb Gaba,44322,1.185
subclass,041 OB-in Frmd7 Gaba,40888,1.093
subclass,151 TH Prkcd Grin2c Glut,39378,1.053
subclass,022 L5 ET CTX Glut,37680,1.007
subclass,053 Sst Gaba,36360,0.972
subclass,037 DG Glut,34334,0.918
subclass,181 IC Tfap2d Maf Glut,31176,0.834
subclass,005 L5 IT CTX Glut,30263,0.809
subclass,316 Bergmann NN,29613,0.792
subclass,323 Ependymal NN,28238,0.755
subclass,325 CHOR NN,27335,0.731
subclass,010 IT AON-TT-DP Glut,27076,0.724
subclass,332 SMC NN,26699,0.714
subclass,016 CA1-ProS Glut,25138,0.672
subclass,329 ABC NN,19081,0.51
subclass,313 CBX Purkinje Gaba,18030,0.482
subclass,049 Lamp5 Gaba,17827,0.477
subclass,008 L2/3 IT ENT Glut,17455,0.467
subclass,312 CBX MLI Cdh22 Gaba,17455,0.467
subclass,032 L5 NP CTX Glut,17428,0.466
subclass,029 L6b CTX Glut,17318,0.463
subclass,046 Vip Gaba,16634,0.445
subclass,017 CA3 Glut,16389,0.438
subclass,028 L6b/CT ENT Glut,15189,0.406
subclass,019 L2/3 IT PPP Glut,14871,0.398
subclass,020 L2/3 IT RSP Glut,14573,0.39
subclass,001 CLA-EPd-CTX Car3 Glut,13859,0.371
subclass,235 PG-TRN-LRN Fat2 Glut,13679,0.366
subclass,014 LA-BLA-BMA-PA Glut,13200,0.353
subclass,045 OB-STR-CTX Inh IMN,12818,0.343
subclass,064 STR-PAL Chst9 Gaba,12297,0.329
subclass,060 OT D3 Folh1 Gaba,12295,0.329
subclass,003 L5/6 IT TPE-ENT Glut,12167,0.325
subclass,063 STR D1 Sema5a Gaba,10993,0.294
subclass,042 OB-out Frmd7 Gaba,10889,0.291
subclass,285 MY Lhx1 Gly-Gaba,10738,0.287
subclass,057 NDB-SI-MA-STRv Lhx8 Gaba,10661,0.285
subclass,002 IT EP-CLA Glut,9950,0.266
subclass,243 PGRN-PARN-MDRN Hoxb5 Glut,9470,0.253
subclass,328 OEC NN,9257,0.248
subclass,198 IC Six3 En2 Gaba,8581,0.229
subclass,093 RT-ZI Gnb3 Gaba,8535,0.228
subclass,035 OB Eomes Ms4a15 Glut,7774,0.208
subclass,023 SUB-ProS Glut,7727,0.207
subclass,013 COAp Grxcr2 Glut,7612,0.204
subclass,101 ZI Pax6 Gaba,6037,0.161
subclass,012 MEA Slc17a7 Glut,6026,0.161
subclass,047 Sncg Gaba,5942,0.159
subclass,321 Astroependymal NN,5264,0.141
subclass,044 OB Dopa-Gaba,5220,0.14
subclass,320 Astro-OLF NN,5164,0.138
subclass,039 OB Meis2 Thsd7b Gaba,5145,0.138
subclass,113 MEA-COA-BMA Ccdc42 Glut,5132,0.137
subclass,114 COAa-PAA-MEA Barhl2 Glut,5118,0.137
subclass,207 SCs Dmbx1 Gaba,4859,0.13
subclass,070 LSX Prdm12 Slit2 Gaba,4830,0.129
subclass,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,4829,0.129
subclass,011 L2 IT ENT-po Glut,4809,0.129
subclass,145 MH Tac2 Glut,4696,0.126
subclass,071 LSX Prdm12 Zeb2 Gaba,4518,0.121
subclass,205 SC-PAG Lef1 Emx2 Gaba,4421,0.118
subclass,056 Sst Chodl Gaba,4376,0.117
subclass,222 PB Evx2 Glut,4270,0.114
subclass,309 CB PLI Gly-Gaba,4230,0.113
subclass,149 PVT-PT Ntrk1 Glut,4182,0.112
subclass,154 PF Fzd5 Glut,4141,0.111
subclass,069 LSX Nkx2-1 Gaba,4099,0.11
subclass,129 VMH Nr5a1 Glut,4082,0.109
subclass,215 SNc-VTA-RAmb Foxa1 Dopa,4075,0.109
subclass,228 PSV Pvalb Lhx2 Glut,4059,0.109
subclass,213 SCsg Gabrr2 Gaba,4044,0.108
subclass,176 SCig Foxb1 Glut,3999,0.107
subclass,152 RE-Xi Nox4 Glut,3860,0.103
subclass,054 STR Prox1 Lhx6 Gaba,3809,0.102
subclass,106 PVpo-VMPO-MPN Hmx2 Gaba,3769,0.101
subclass,278 NLL Gata3 Gly-Gaba,3768,0.101
subclass,033 NP SUB Glut,3688,0.099
subclass,111 TRS-BAC Sln Glut,3656,0.098
subclass,187 SCsg Pde5a Glut,3522,0.094
subclass,027 L6b EPd Glut,3521,0.094
subclass,150 CM-IAD-CL-PCN Sema5b Glut,3498,0.094
subclass,073 MEA-BST Sox6 Gaba,3455,0.092
subclass,119 SI-MA-LPO-LHA Skor1 Glut,3432,0.092
subclass,317 Astro-CB NN,3391,0.091
subclass,202 PRT Tcf7l2 Gaba,3371,0.09
subclass,058 PAL-STR Gaba-Chol,3366,0.09
subclass,085 SI-MPO-LPO Lhx8 Gaba,3345,0.089
subclass,209 SCs Pax7 Nfia Gaba,3324,0.089
subclass,050 Lamp5 Lhx6 Gaba,3301,0.088
subclass,169 PAG-SC Pou4f1 Zic1 Glut,3293,0.088
subclass,066 NDB-SI-ant Prdm12 Gaba,3224,0.086
subclass,264 PRNc Otp Gly-Gaba,3215,0.086
subclass,197 SNr Six3 Gaba,3203,0.086
subclass,104 TU-ARH Otp Six6 Gaba,3203,0.086
subclass,254 VCO Mafa Meis2 Glut,3103,0.083
subclass,074 MEA-BST Lhx6 Sp9 Gaba,3063,0.082
subclass,216 MB-MY Tph2 Glut-Sero,3001,0.08
subclass,090 BST-MPN Six3 Nrgn Gaba,2941,0.079
subclass,107 DMH Hmx2 Gaba,2871,0.077
subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,2857,0.076
subclass,082 CEA-BST Ebf1 Pdyn Gaba,2832,0.076
subclass,048 RHP-COA Ndnf Gaba,2815,0.075
subclass,306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba,2813,0.075
subclass,173 PAG Pou4f2 Glut,2812,0.075
subclass,135 STN-PSTN Pitx2 Glut,2766,0.074
subclass,040 OB Trdn Gaba,2759,0.074
subclass,018 L2 IT PPP-APr Glut,2754,0.074
subclass,015 ENTmv-PA-COAp Glut,2752,0.074
subclass,076 MEA-BST Lhx6 Nfib Gaba,2737,0.073
subclass,079 CEA-BST Six3 Cyp26b1 Gaba,2675,0.072
subclass,081 ACB-BST-FS D1 Gaba,2626,0.07
subclass,144 MM Foxb1 Glut,2614,0.07
subclass,308 DCO Il22 Gly-Gaba,2600,0.07
