neurotransmitter,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
Chol,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.19,0.0,0.11,0.15,0.17,0.25,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
Dopa,0.0,0.0,0.0,0.0,0.14,0.0,0.46,0.0,0.21,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.0,0.0,0.01,0.0,0.01
GABA,0.0,0.14,0.01,0.03,0.05,0.11,0.06,0.0,0.1,0.01,0.04,0.37,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.02
GABA-Glyc,0.0,0.1,0.0,0.0,0.0,0.0,0.04,0.48,0.0,0.26,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.01
Glut,0.0,0.13,0.02,0.11,0.03,0.43,0.06,0.02,0.07,0.02,0.0,0.01,0.05,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Glut-GABA,0.0,0.0,0.01,0.09,0.28,0.08,0.07,0.05,0.04,0.18,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0
Hist,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Nora,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Sero,0.01,0.0,0.0,0.0,0.0,0.0,0.4,0.17,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.01,0.0,0.01,0.0,0.0,0.0
