supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm,unassigned
0001 CLA-EPd-CTX Car3 Glut_1,0.0,0.0,0.1,0.01,0.0,0.8,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0
0002 CLA-EPd-CTX Car3 Glut_2,0.0,0.0,0.22,0.0,0.0,0.49,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0
0003 IT EP-CLA Glut_1,0.0,0.0,0.3,0.02,0.0,0.51,0.0,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.01,0.0
0004 IT EP-CLA Glut_2,0.0,0.0,0.3,0.15,0.0,0.16,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.0,0.0
0005 IT EP-CLA Glut_3,0.0,0.0,0.53,0.0,0.0,0.03,0.0,0.0,0.39,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0
0006 IT EP-CLA Glut_4,0.0,0.0,0.14,0.0,0.0,0.09,0.0,0.0,0.75,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
0007 L5/6 IT TPE-ENT Glut_1,0.0,0.0,0.12,0.15,0.0,0.66,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
0008 L5/6 IT TPE-ENT Glut_2,0.0,0.0,0.0,0.2,0.0,0.78,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0009 L5/6 IT TPE-ENT Glut_3,0.0,0.0,0.02,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
0010 L5/6 IT TPE-ENT Glut_4,0.0,0.0,0.0,0.84,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0011 L5/6 IT TPE-ENT Glut_5,0.0,0.0,0.0,0.09,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
