ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um
ID	TYPE	AI RO:0002220	>AT n2o:contactArea^^xsd:float	>AT n2o:minDistance^^xsd:float	>AT n2o:centroidDistance^^xsd:float
MBA:1097	owl:NamedIndividual	MBA:1009	3436875.102	25.000	922.066
MBA:1009	owl:NamedIndividual	MBA:117	4694375.140	25.000	2323.095
MBA:117	owl:NamedIndividual	MBA:1009	4694375.140	25.000	2323.095
MBA:1009	owl:NamedIndividual	MBA:125	12033125.359	25.000	877.032
MBA:125	owl:NamedIndividual	MBA:1009	12033125.359	25.000	877.032
MBA:1009	owl:NamedIndividual	MBA:129	414375.012	25.000	1342.435
MBA:129	owl:NamedIndividual	MBA:1009	414375.012	25.000	1342.435
MBA:1009	owl:NamedIndividual	MBA:131	113750.003	25.000	410.951
MBA:131	owl:NamedIndividual	MBA:1009	113750.003	25.000	410.951
MBA:1009	owl:NamedIndividual	MBA:133	147500.004	25.000	1740.595
MBA:133	owl:NamedIndividual	MBA:1009	147500.004	25.000	1740.595
MBA:1009	owl:NamedIndividual	MBA:149	66875.002	25.000	1361.947
MBA:149	owl:NamedIndividual	MBA:1009	66875.002	25.000	1361.947
MBA:1009	owl:NamedIndividual	MBA:15	53750.002	25.000	1241.094
MBA:15	owl:NamedIndividual	MBA:1009	53750.002	25.000	1241.094
MBA:1009	owl:NamedIndividual	MBA:173	1038125.031	25.000	1877.306
MBA:173	owl:NamedIndividual	MBA:1009	1038125.031	25.000	1877.306
MBA:1009	owl:NamedIndividual	MBA:178	2983750.089	25.000	1496.927
MBA:178	owl:NamedIndividual	MBA:1009	2983750.089	25.000	1496.927
MBA:1009	owl:NamedIndividual	MBA:194	1732500.052	25.000	805.013
MBA:194	owl:NamedIndividual	MBA:1009	1732500.052	25.000	805.013
MBA:1009	owl:NamedIndividual	MBA:218	686250.020	25.000	2182.646
MBA:218	owl:NamedIndividual	MBA:1009	686250.020	25.000	2182.646
MBA:1009	owl:NamedIndividual	MBA:223	2500.000	25.000	1861.915
MBA:223	owl:NamedIndividual	MBA:1009	2500.000	25.000	1861.915
MBA:1009	owl:NamedIndividual	MBA:262	1931875.058	25.000	1007.521
MBA:262	owl:NamedIndividual	MBA:1009	1931875.058	25.000	1007.521
MBA:1009	owl:NamedIndividual	MBA:27	211875.006	25.000	1722.549
MBA:27	owl:NamedIndividual	MBA:1009	211875.006	25.000	1722.549
MBA:1009	owl:NamedIndividual	MBA:272	222500.007	25.000	2313.163
MBA:272	owl:NamedIndividual	MBA:1009	222500.007	25.000	2313.163
