ID	TYPE	CLM_0010003
ID	TYPE	AI http://purl.obolibrary.org/obo/CLM_0010003
PCL:0110061	owl:NamedIndividual	ensembl:ENSMUSG00000027559
PCL:0110072	owl:NamedIndividual	ensembl:ENSMUSG00000070570
PCL:0110073	owl:NamedIndividual	ensembl:ENSMUSG00000073574
PCL:0110095	owl:NamedIndividual	ensembl:ENSMUSG00000032446
PCL:0110095	owl:NamedIndividual	ensembl:ENSMUSG00000067571
PCL:0110323	owl:NamedIndividual	ensembl:ENSMUSG00000027210
PCL:0110220	owl:NamedIndividual	ensembl:ENSMUSG00000027210
PCL:0110099	owl:NamedIndividual	ensembl:ENSMUSG00000027210
PCL:0110099	owl:NamedIndividual	ensembl:ENSMUSG00000042581
PCL:0110100	owl:NamedIndividual	ensembl:ENSMUSG00000019787
PCL:0110101	owl:NamedIndividual	ensembl:ENSMUSG00000036131
PCL:0110106	owl:NamedIndividual	ensembl:ENSMUSG00000019772
PCL:0110107	owl:NamedIndividual	ensembl:ENSMUSG00000023064
PCL:0110108	owl:NamedIndividual	ensembl:ENSMUSG00000049001
PCL:0110109	owl:NamedIndividual	ensembl:ENSMUSG00000027270
PCL:0110135	owl:NamedIndividual	ensembl:ENSMUSG00000026890
PCL:0110163	owl:NamedIndividual	ensembl:ENSMUSG00000026890
PCL:0110114	owl:NamedIndividual	ensembl:ENSMUSG00000026890
PCL:0110288	owl:NamedIndividual	ensembl:ENSMUSG00000005716
PCL:0110112	owl:NamedIndividual	ensembl:ENSMUSG00000005716
PCL:0110325	owl:NamedIndividual	ensembl:ENSMUSG00000004366
PCL:0110116	owl:NamedIndividual	ensembl:ENSMUSG00000004366
PCL:0110113	owl:NamedIndividual	ensembl:ENSMUSG00000004366
PCL:0110351	owl:NamedIndividual	ensembl:ENSMUSG00000010175
PCL:0110157	owl:NamedIndividual	ensembl:ENSMUSG00000010175
PCL:0110114	owl:NamedIndividual	ensembl:ENSMUSG00000010175
PCL:0110145	owl:NamedIndividual	ensembl:ENSMUSG00000096225
PCL:0110117	owl:NamedIndividual	ensembl:ENSMUSG00000096225
PCL:0110116	owl:NamedIndividual	ensembl:ENSMUSG00000022860
PCL:0110133	owl:NamedIndividual	ensembl:ENSMUSG00000051910
PCL:0110119	owl:NamedIndividual	ensembl:ENSMUSG00000051910
PCL:0110139	owl:NamedIndividual	ensembl:ENSMUSG00000063415
PCL:0110119	owl:NamedIndividual	ensembl:ENSMUSG00000063415
PCL:0110120	owl:NamedIndividual	ensembl:ENSMUSG00000001773
PCL:0110123	owl:NamedIndividual	ensembl:ENSMUSG00000022231
PCL:0110124	owl:NamedIndividual	ensembl:ENSMUSG00000047161
PCL:0110125	owl:NamedIndividual	ensembl:ENSMUSG00000030218
PCL:0110126	owl:NamedIndividual	ensembl:ENSMUSG00000079466
PCL:0110130	owl:NamedIndividual	ensembl:ENSMUSG00000079466
PCL:0110366	owl:NamedIndividual	ensembl:ENSMUSG00000024565
PCL:0110127	owl:NamedIndividual	ensembl:ENSMUSG00000024565
PCL:0110333	owl:NamedIndividual	ensembl:ENSMUSG00000027168
PCL:0110215	owl:NamedIndividual	ensembl:ENSMUSG00000027168
PCL:0110161	owl:NamedIndividual	ensembl:ENSMUSG00000027168
PCL:0110127	owl:NamedIndividual	ensembl:ENSMUSG00000027168
PCL:0110268	owl:NamedIndividual	ensembl:ENSMUSG00000021848
PCL:0110169	owl:NamedIndividual	ensembl:ENSMUSG00000021848
PCL:0110128	owl:NamedIndividual	ensembl:ENSMUSG00000021848
PCL:0110129	owl:NamedIndividual	ensembl:ENSMUSG00000001496
PCL:0110130	owl:NamedIndividual	ensembl:ENSMUSG00000031558
PCL:0110131	owl:NamedIndividual	ensembl:ENSMUSG00000026872
PCL:0110132	owl:NamedIndividual	ensembl:ENSMUSG00000036111
PCL:0110228	owl:NamedIndividual	ensembl:ENSMUSG00000068859
PCL:0110134	owl:NamedIndividual	ensembl:ENSMUSG00000068859
PCL:0110135	owl:NamedIndividual	ensembl:ENSMUSG00000019803
PCL:0110365	owl:NamedIndividual	ensembl:ENSMUSG00000008575
PCL:0110136	owl:NamedIndividual	ensembl:ENSMUSG00000008575
PCL:0110142	owl:NamedIndividual	ensembl:ENSMUSG00000057098
PCL:0110231	owl:NamedIndividual	ensembl:ENSMUSG00000028487
PCL:0110138	owl:NamedIndividual	ensembl:ENSMUSG00000028487
PCL:0110144	owl:NamedIndividual	ensembl:ENSMUSG00000038805
PCL:0110157	owl:NamedIndividual	ensembl:ENSMUSG00000038805
PCL:0110143	owl:NamedIndividual	ensembl:ENSMUSG00000027400
PCL:0110143	owl:NamedIndividual	ensembl:ENSMUSG00000022246
PCL:0110143	owl:NamedIndividual	ensembl:ENSMUSG00000049796
PCL:0110144	owl:NamedIndividual	ensembl:ENSMUSG00000023828
PCL:0110147	owl:NamedIndividual	ensembl:ENSMUSG00000038872
PCL:0110205	owl:NamedIndividual	ensembl:ENSMUSG00000025400
PCL:0110148	owl:NamedIndividual	ensembl:ENSMUSG00000025400
PCL:0110149	owl:NamedIndividual	ensembl:ENSMUSG00000045179
PCL:0110150	owl:NamedIndividual	ensembl:ENSMUSG00000053310
PCL:0110164	owl:NamedIndividual	ensembl:ENSMUSG00000021099
PCL:0110186	owl:NamedIndividual	ensembl:ENSMUSG00000018604
PCL:0110168	owl:NamedIndividual	ensembl:ENSMUSG00000018604
PCL:0110153	owl:NamedIndividual	ensembl:ENSMUSG00000023439
PCL:0110154	owl:NamedIndividual	ensembl:ENSMUSG00000033502
PCL:0110155	owl:NamedIndividual	ensembl:ENSMUSG00000040478
PCL:0110159	owl:NamedIndividual	ensembl:ENSMUSG00000038331
PCL:0110160	owl:NamedIndividual	ensembl:ENSMUSG00000045518
PCL:0110162	owl:NamedIndividual	ensembl:ENSMUSG00000053129
PCL:0110343	owl:NamedIndividual	ensembl:ENSMUSG00000021685
PCL:0110297	owl:NamedIndividual	ensembl:ENSMUSG00000021685
PCL:0110274	owl:NamedIndividual	ensembl:ENSMUSG00000021685
PCL:0110181	owl:NamedIndividual	ensembl:ENSMUSG00000021685
PCL:0110192	owl:NamedIndividual	ensembl:ENSMUSG00000021685
PCL:0110164	owl:NamedIndividual	ensembl:ENSMUSG00000021685
PCL:0110184	owl:NamedIndividual	ensembl:ENSMUSG00000050100
PCL:0110167	owl:NamedIndividual	ensembl:ENSMUSG00000050100
PCL:0110171	owl:NamedIndividual	ensembl:ENSMUSG00000042045
