ID	Type	cell_count
ID	TYPE	A PCL:0010060^^xsd:integer
WMB:CS20230722_SUBC_001	owl:NamedIndividual	13859
WMB:CS20230722_SUBC_235	owl:NamedIndividual	13679
WMB:CS20230722_SUBC_014	owl:NamedIndividual	13200
WMB:CS20230722_SUBC_045	owl:NamedIndividual	12818
WMB:CS20230722_SUBC_064	owl:NamedIndividual	12297
WMB:CS20230722_SUBC_060	owl:NamedIndividual	12295
WMB:CS20230722_SUBC_003	owl:NamedIndividual	12167
WMB:CS20230722_SUBC_063	owl:NamedIndividual	10993
WMB:CS20230722_SUBC_042	owl:NamedIndividual	10889
WMB:CS20230722_SUBC_285	owl:NamedIndividual	10738
WMB:CS20230722_SUBC_057	owl:NamedIndividual	10661
WMB:CS20230722_SUBC_002	owl:NamedIndividual	9950
WMB:CS20230722_SUBC_243	owl:NamedIndividual	9470
WMB:CS20230722_SUBC_328	owl:NamedIndividual	9257
WMB:CS20230722_SUBC_198	owl:NamedIndividual	8581
WMB:CS20230722_SUBC_093	owl:NamedIndividual	8535
WMB:CS20230722_SUBC_035	owl:NamedIndividual	7774
WMB:CS20230722_SUBC_023	owl:NamedIndividual	7727
WMB:CS20230722_SUBC_013	owl:NamedIndividual	7612
WMB:CS20230722_SUBC_101	owl:NamedIndividual	6037
WMB:CS20230722_SUBC_012	owl:NamedIndividual	6026
WMB:CS20230722_SUBC_047	owl:NamedIndividual	5942
WMB:CS20230722_SUBC_321	owl:NamedIndividual	5264
WMB:CS20230722_SUBC_044	owl:NamedIndividual	5220
WMB:CS20230722_SUBC_039	owl:NamedIndividual	5145
WMB:CS20230722_SUBC_113	owl:NamedIndividual	5132
WMB:CS20230722_SUBC_114	owl:NamedIndividual	5118
WMB:CS20230722_SUBC_207	owl:NamedIndividual	4859
WMB:CS20230722_SUBC_070	owl:NamedIndividual	4830
WMB:CS20230722_SUBC_168	owl:NamedIndividual	4829
WMB:CS20230722_SUBC_011	owl:NamedIndividual	4809
WMB:CS20230722_SUBC_145	owl:NamedIndividual	4696
WMB:CS20230722_SUBC_071	owl:NamedIndividual	4518
WMB:CS20230722_SUBC_205	owl:NamedIndividual	4421
WMB:CS20230722_SUBC_056	owl:NamedIndividual	4376
WMB:CS20230722_SUBC_222	owl:NamedIndividual	4270
WMB:CS20230722_SUBC_149	owl:NamedIndividual	4182
WMB:CS20230722_SUBC_154	owl:NamedIndividual	4141
WMB:CS20230722_SUBC_069	owl:NamedIndividual	4099
WMB:CS20230722_SUBC_129	owl:NamedIndividual	4082
WMB:CS20230722_SUBC_215	owl:NamedIndividual	4075
WMB:CS20230722_SUBC_228	owl:NamedIndividual	4059
WMB:CS20230722_SUBC_213	owl:NamedIndividual	4044
WMB:CS20230722_SUBC_176	owl:NamedIndividual	3999
WMB:CS20230722_SUBC_152	owl:NamedIndividual	3860
WMB:CS20230722_SUBC_054	owl:NamedIndividual	3809
WMB:CS20230722_SUBC_106	owl:NamedIndividual	3769
WMB:CS20230722_SUBC_278	owl:NamedIndividual	3768
WMB:CS20230722_SUBC_033	owl:NamedIndividual	3688
WMB:CS20230722_SUBC_111	owl:NamedIndividual	3656
WMB:CS20230722_SUBC_187	owl:NamedIndividual	3522
WMB:CS20230722_SUBC_027	owl:NamedIndividual	3521
WMB:CS20230722_SUBC_150	owl:NamedIndividual	3498
WMB:CS20230722_SUBC_073	owl:NamedIndividual	3455
WMB:CS20230722_SUBC_119	owl:NamedIndividual	3432
WMB:CS20230722_SUBC_317	owl:NamedIndividual	3391
WMB:CS20230722_SUBC_202	owl:NamedIndividual	3371
WMB:CS20230722_SUBC_058	owl:NamedIndividual	3366
WMB:CS20230722_SUBC_085	owl:NamedIndividual	3345
WMB:CS20230722_SUBC_209	owl:NamedIndividual	3324
WMB:CS20230722_SUBC_050	owl:NamedIndividual	3301
WMB:CS20230722_SUBC_169	owl:NamedIndividual	3293
WMB:CS20230722_SUBC_066	owl:NamedIndividual	3224
WMB:CS20230722_SUBC_264	owl:NamedIndividual	3215
WMB:CS20230722_SUBC_197	owl:NamedIndividual	3203
WMB:CS20230722_SUBC_104	owl:NamedIndividual	3203
WMB:CS20230722_SUBC_254	owl:NamedIndividual	3103
WMB:CS20230722_SUBC_074	owl:NamedIndividual	3063
WMB:CS20230722_SUBC_216	owl:NamedIndividual	3001
WMB:CS20230722_SUBC_090	owl:NamedIndividual	2941
WMB:CS20230722_SUBC_107	owl:NamedIndividual	2871
WMB:CS20230722_SUBC_080	owl:NamedIndividual	2857
WMB:CS20230722_SUBC_082	owl:NamedIndividual	2832
WMB:CS20230722_SUBC_048	owl:NamedIndividual	2815
WMB:CS20230722_SUBC_306	owl:NamedIndividual	2813
WMB:CS20230722_SUBC_173	owl:NamedIndividual	2812
WMB:CS20230722_SUBC_135	owl:NamedIndividual	2766
WMB:CS20230722_SUBC_040	owl:NamedIndividual	2759
WMB:CS20230722_SUBC_018	owl:NamedIndividual	2754
WMB:CS20230722_SUBC_015	owl:NamedIndividual	2752
WMB:CS20230722_SUBC_076	owl:NamedIndividual	2737
WMB:CS20230722_SUBC_079	owl:NamedIndividual	2675
WMB:CS20230722_SUBC_081	owl:NamedIndividual	2626
WMB:CS20230722_SUBC_144	owl:NamedIndividual	2614
WMB:CS20230722_SUBC_308	owl:NamedIndividual	2600
WMB:CS20230722_SUBC_132	owl:NamedIndividual	2589
WMB:CS20230722_SUBC_031	owl:NamedIndividual	2528
WMB:CS20230722_SUBC_182	owl:NamedIndividual	2519
WMB:CS20230722_SUBC_021	owl:NamedIndividual	2502
WMB:CS20230722_SUBC_086	owl:NamedIndividual	2213
WMB:CS20230722_SUBC_238	owl:NamedIndividual	2206
WMB:CS20230722_SUBC_072	owl:NamedIndividual	2203
WMB:CS20230722_SUBC_089	owl:NamedIndividual	2193
WMB:CS20230722_SUBC_102	owl:NamedIndividual	2186
WMB:CS20230722_SUBC_098	owl:NamedIndividual	2182
WMB:CS20230722_SUBC_055	owl:NamedIndividual	2158
WMB:CS20230722_SUBC_203	owl:NamedIndividual	2155
WMB:CS20230722_SUBC_217	owl:NamedIndividual	2087
WMB:CS20230722_SUBC_133	owl:NamedIndividual	2058
WMB:CS20230722_SUBC_180	owl:NamedIndividual	2038
WMB:CS20230722_SUBC_277	owl:NamedIndividual	2016
