ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um	spatial_atlas
ID	TYPE	AI RO:0002220	>AT n2o:contactArea^^xsd:float	>AT n2o:minDistance^^xsd:float	>AT n2o:centroidDistance^^xsd:float	>AI n2o:spatialReferenceAtlas
MBA:129	owl:NamedIndividual	MBA:1009	414375.012	25.000	1342.435	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:131	113750.003	25.000	410.951	n2o:CCF2020
MBA:131	owl:NamedIndividual	MBA:1009	113750.003	25.000	410.951	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:133	147500.004	25.000	1740.595	n2o:CCF2020
MBA:133	owl:NamedIndividual	MBA:1009	147500.004	25.000	1740.595	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:149	66875.002	25.000	1361.947	n2o:CCF2020
MBA:149	owl:NamedIndividual	MBA:1009	66875.002	25.000	1361.947	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:15	53750.002	25.000	1241.094	n2o:CCF2020
MBA:15	owl:NamedIndividual	MBA:1009	53750.002	25.000	1241.094	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:170	1773125.053	25.000	2096.952	n2o:CCF2020
MBA:170	owl:NamedIndividual	MBA:1009	1773125.053	25.000	2096.952	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:173	1038125.031	25.000	1877.306	n2o:CCF2020
MBA:173	owl:NamedIndividual	MBA:1009	1038125.031	25.000	1877.306	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:178	2983750.089	25.000	1496.927	n2o:CCF2020
MBA:178	owl:NamedIndividual	MBA:1009	2983750.089	25.000	1496.927	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:194	1732500.052	25.000	805.013	n2o:CCF2020
MBA:194	owl:NamedIndividual	MBA:1009	1732500.052	25.000	805.013	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:218	686250.020	25.000	2182.646	n2o:CCF2020
MBA:218	owl:NamedIndividual	MBA:1009	686250.020	25.000	2182.646	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:223	2500.000	25.000	1861.915	n2o:CCF2020
MBA:223	owl:NamedIndividual	MBA:1009	2500.000	25.000	1861.915	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:262	1931875.058	25.000	1007.521	n2o:CCF2020
MBA:262	owl:NamedIndividual	MBA:1009	1931875.058	25.000	1007.521	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:27	211875.006	25.000	1722.549	n2o:CCF2020
MBA:27	owl:NamedIndividual	MBA:1009	211875.006	25.000	1722.549	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:272	222500.007	25.000	2313.163	n2o:CCF2020
MBA:272	owl:NamedIndividual	MBA:1009	222500.007	25.000	2313.163	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:286	228125.007	25.000	1910.331	n2o:CCF2020
MBA:286	owl:NamedIndividual	MBA:1009	228125.007	25.000	1910.331	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:287	126875.004	25.000	1447.164	n2o:CCF2020
MBA:287	owl:NamedIndividual	MBA:1009	126875.004	25.000	1447.164	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:295	51875.002	25.000	903.105	n2o:CCF2020
MBA:295	owl:NamedIndividual	MBA:1009	51875.002	25.000	903.105	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:310	9375.000	25.000	2092.506	n2o:CCF2020
MBA:310	owl:NamedIndividual	MBA:1009	9375.000	25.000	2092.506	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:313	846250.025	25.000	2442.213	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:1009	846250.025	25.000	2442.213	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:319	39375.001	25.000	1192.012	n2o:CCF2020
MBA:319	owl:NamedIndividual	MBA:1009	39375.001	25.000	1192.012	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:321	373125.011	25.000	1035.486	n2o:CCF2020
MBA:321	owl:NamedIndividual	MBA:1009	373125.011	25.000	1035.486	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:351	580625.017	25.000	1500.263	n2o:CCF2020
MBA:351	owl:NamedIndividual	MBA:1009	580625.017	25.000	1500.263	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:364	126875.004	25.000	768.941	n2o:CCF2020
MBA:364	owl:NamedIndividual	MBA:1009	126875.004	25.000	768.941	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:390	610000.018	25.000	1819.406	n2o:CCF2020
MBA:390	owl:NamedIndividual	MBA:1009	610000.018	25.000	1819.406	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:403	1128750.034	25.000	1155.606	n2o:CCF2020
MBA:403	owl:NamedIndividual	MBA:1009	1128750.034	25.000	1155.606	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:452	332500.010	25.000	1740.136	n2o:CCF2020
MBA:452	owl:NamedIndividual	MBA:1009	332500.010	25.000	1740.136	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:463	50000.001	25.000	1684.987	n2o:CCF2020
MBA:463	owl:NamedIndividual	MBA:1009	50000.001	25.000	1684.987	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:470	1778750.053	25.000	486.739	n2o:CCF2020
MBA:470	owl:NamedIndividual	MBA:1009	1778750.053	25.000	486.739	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:477	2464375.073	25.000	1579.973	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:1009	2464375.073	25.000	1579.973	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:549	1586875.047	25.000	989.645	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:1009	1586875.047	25.000	989.645	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:564	1250.000	25.000	2104.772	n2o:CCF2020
MBA:564	owl:NamedIndividual	MBA:1009	1250.000	25.000	2104.772	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:576073699	278125.008	25.000	2168.836	n2o:CCF2020
MBA:576073699	owl:NamedIndividual	MBA:1009	278125.008	25.000	2168.836	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:581	110625.003	25.000	1997.769	n2o:CCF2020
MBA:581	owl:NamedIndividual	MBA:1009	110625.003	25.000	1997.769	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:614	888750.026	25.000	1655.147	n2o:CCF2020
MBA:614	owl:NamedIndividual	MBA:1009	888750.026	25.000	1655.147	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:66	15000.000	25.000	1592.976	n2o:CCF2020
MBA:66	owl:NamedIndividual	MBA:1009	15000.000	25.000	1592.976	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:672	66875.002	25.000	1814.440	n2o:CCF2020
MBA:672	owl:NamedIndividual	MBA:1009	66875.002	25.000	1814.440	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:689	108125.003	25.000	2285.154	n2o:CCF2020
MBA:689	owl:NamedIndividual	MBA:1009	108125.003	25.000	2285.154	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:703	112500.003	25.000	845.476	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:1009	112500.003	25.000	845.476	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:72	125000.004	25.000	1846.725	n2o:CCF2020
MBA:72	owl:NamedIndividual	MBA:1009	125000.004	25.000	1846.725	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:726	837500.025	25.000	2276.147	n2o:CCF2020
MBA:726	owl:NamedIndividual	MBA:1009	837500.025	25.000	2276.147	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:760	15625.000	25.000	224.515	n2o:CCF2020
MBA:760	owl:NamedIndividual	MBA:1009	15625.000	25.000	224.515	n2o:CCF2020
