ID	Type	n2o:paintedIn	atlas_level
MBA:148	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:149	owl:NamedIndividual	n2o:CCF2020	structure
MBA:15	owl:NamedIndividual	n2o:CCF2020	structure
MBA:151	owl:NamedIndividual	n2o:CCF2020	structure
MBA:153	owl:NamedIndividual	n2o:CCF2020	structure
MBA:155	owl:NamedIndividual	n2o:CCF2020	structure
MBA:158	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:159	owl:NamedIndividual	n2o:CCF2020	structure
MBA:162	owl:NamedIndividual	n2o:CCF2020	structure
MBA:163	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:169	owl:NamedIndividual	n2o:CCF2020	structure
MBA:17	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:170	owl:NamedIndividual	n2o:CCF2020	structure
MBA:171	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:173	owl:NamedIndividual	n2o:CCF2020	structure
MBA:177	owl:NamedIndividual	n2o:CCF2020	structure
MBA:178	owl:NamedIndividual	n2o:CCF2020	structure
MBA:180	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:181	owl:NamedIndividual	n2o:CCF2020	structure
MBA:186	owl:NamedIndividual	n2o:CCF2020	structure
MBA:187	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:188	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:189	owl:NamedIndividual	n2o:CCF2020	structure
MBA:19	owl:NamedIndividual	n2o:CCF2020	structure
MBA:190	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:194	owl:NamedIndividual	n2o:CCF2020	structure
MBA:197	owl:NamedIndividual	n2o:CCF2020	structure
MBA:20	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:201	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:202	owl:NamedIndividual	n2o:CCF2020	structure
MBA:204	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:206	owl:NamedIndividual	n2o:CCF2020	structure
MBA:207	owl:NamedIndividual	n2o:CCF2020	structure
MBA:209	owl:NamedIndividual	n2o:CCF2020	structure
MBA:210	owl:NamedIndividual	n2o:CCF2020	structure
MBA:211	owl:NamedIndividual	n2o:CCF2020	substructure
MBA:214	owl:NamedIndividual	n2o:CCF2020	structure
MBA:215	owl:NamedIndividual	n2o:CCF2020	structure
MBA:217	owl:NamedIndividual	n2o:CCF2020	structure
MBA:218	owl:NamedIndividual	n2o:CCF2020	structure
