ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:1084	8064	0.012272	11313		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:111	4344	0.006611	7126		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:119	3046	0.004636	5905		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:131	3260	0.004961	5401		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:159	21725	0.033062	25620		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:295	4107	0.006250	6832		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:312782546	4783	0.007279	7423		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:312782628	3760	0.005722	5550		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:329	29884	0.045479	36587		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:337	9235	0.014054	13041		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:345	23518	0.035791	29118		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:353	15973	0.024309	21455		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:361	5438	0.008276	8652		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:369	14625	0.022257	20327		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:378	32284	0.049132	40304		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:382	38945	0.059269	43968		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:385	36235	0.055145	41540		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:39	8087	0.012307	12545		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:409	4954	0.007539	7809		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:417	4085	0.006217	6723		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:423	1040	0.001583	5302		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:463	16463	0.025054	20324		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:48	9370	0.014260	12601		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:484682470	3639	0.005538	8959		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:502	5820	0.008857	11994		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:533	4189	0.006375	6997		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:541	9194	0.013992	13789		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:647	5329	0.008110	6850		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:677	5165	0.007860	8177		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:723	6558	0.009980	9462		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:726	1635	0.002488	7300		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:731	3492	0.005314	5694		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:746	4852	0.007384	7137		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:768	1167	0.001776	13887		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:776	1879	0.002860	17276		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:780	3085	0.004695	6051		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:840	1440	0.002191	6290		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:843	3586	0.005457	8146		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:879	16308	0.024819	24361		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_CLAS_01	owl:NamedIndividual	MBA:886	37833	0.057577	42960		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
