ID	Type	PCL:0010063	cell_count	cell_ratio	in_or_near_100	completeness	spatial_atlas	source
ID	TYPE	AI PCL:0010063	>AT PCL:0010060^^xsd:integer	>AT PCL:0010065^^xsd:float	>AT n2o:countInOrNear100um^^xsd:integer	>AT n2o:cellCountCompleteness^^xsd:string	>AI n2o:spatialReferenceAtlas	>AI dcterms:source
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:723	155	0.008160	310		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:768	15	0.000790	285		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:776	337	0.017741	3350		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:895	891	0.046905	1400		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:952	1493	0.078595	2836		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:961	815	0.042904	1978		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:985	359	0.018899	538		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1023	446	0.023479	885		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1038	455	0.023952	718		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1045	19	0.001000	395		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1058	168	0.008844	390		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1070	96	0.005054	354		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1090	762	0.040114	1822		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1101	255	0.013424	657		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:1102	160	0.008423	328		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:156	147	0.007738	468		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:234	85	0.004475	352		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:252	181	0.009528	402		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:289	766	0.040324	1621		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:314	430	0.022636	1114		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:344	94	0.004948	391		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:427	69	0.003632	257		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:440	68	0.003580	195		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:484682516	84	0.004422	909		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:520	205	0.010792	722		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:630	69	0.003632	198		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:638	485	0.025532	888		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:662	16	0.000842	240		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:675	181	0.009528	853		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:729	711	0.037429	1620		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:783	885	0.046589	1898		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:786	37	0.001948	513		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:800	217	0.011423	745		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:844	319	0.016793	498		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:847	329	0.017319	576		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:849	43	0.002264	535		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:857	703	0.037008	1369		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:862	3592	0.189092	5027		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:884	15	0.000790	224		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
WMB:CS20230722_SUBC_001	owl:NamedIndividual	MBA:889	179	0.009423	360		n2o:CCF2020	doi:10.1038/s41586-023-06808-9
