cluster,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0039 L6 IT CTX Glut_2,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0040 L6 IT CTX Glut_2,0,0,12,0,0,609,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,16,2,22
0041 L6 IT CTX Glut_2,0,0,58,9,0,10398,0,0,5,0,0,35,0,0,0,0,0,0,0,0,0,174,25,282
0042 L6 IT CTX Glut_2,0,0,1,0,0,3939,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10
0043 L6 IT CTX Glut_2,0,0,1,0,0,142,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0044 L6 IT CTX Glut_3,0,0,3,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0045 L6 IT CTX Glut_3,0,0,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0046 L6 IT CTX Glut_3,0,0,0,0,0,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
0047 L6 IT CTX Glut_3,0,0,1,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0048 L6 IT CTX Glut_3,0,0,1,1,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0049 L6 IT CTX Glut_4,0,0,2,3,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0050 L6 IT CTX Glut_4,0,0,2,5,0,336,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12
0051 L6 IT CTX Glut_4,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0052 L6 IT CTX Glut_4,0,0,8,4,0,819,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23
0053 L6 IT CTX Glut_5,0,0,1,0,0,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7
0054 L6 IT CTX Glut_5,0,0,8,2,0,875,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
0055 L5 IT CTX Glut_1,0,0,3,0,0,810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0056 L5 IT CTX Glut_1,0,0,0,0,0,4457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0057 L5 IT CTX Glut_1,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0058 L5 IT CTX Glut_2,0,0,0,4,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0059 L5 IT CTX Glut_2,0,0,0,8,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
