cluster,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0725 Lamp5 Lhx6 Gaba_1,0,0,2,18,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
0726 Lamp5 Lhx6 Gaba_1,0,0,104,1642,1,203,2,0,114,0,3,55,2,4,0,5,24,0,1,0,1,87,79,37
0727 Lamp5 Lhx6 Gaba_1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0728 Lamp5 Lhx6 Gaba_1,0,0,3,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0729 Lamp5 Lhx6 Gaba_1,0,0,9,202,0,1,1,0,2,0,0,3,0,0,0,0,2,0,0,0,1,9,6,0
0730 Lamp5 Lhx6 Gaba_1,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0731 Lamp5 Lhx6 Gaba_1,0,0,108,409,0,7,1,0,17,0,1,15,1,0,0,2,7,0,0,0,2,9,12,0
0732 Pvalb chandelier Gaba_1,0,0,4,301,0,7,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
0733 Pvalb chandelier Gaba_1,0,0,324,429,0,1060,0,0,661,0,0,112,0,0,0,4,0,0,1,0,1,27,12,12
0734 Pvalb Gaba_1,0,0,17,80,0,248,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,23,14,12
0735 Pvalb Gaba_1,0,0,16,95,0,872,0,0,6,0,0,2,0,0,0,1,1,0,0,0,0,18,15,4
0736 Pvalb Gaba_1,0,0,0,6,0,96,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0737 Pvalb Gaba_2,0,0,9,383,1,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,24,0
0738 Pvalb Gaba_2,0,0,321,57,0,68,0,0,265,0,1,93,0,0,0,6,1,0,0,0,2,8,14,0
0739 Pvalb Gaba_2,0,0,7,297,1,12,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,7,0
0740 Pvalb Gaba_3,0,0,2,34,0,5128,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0741 Pvalb Gaba_3,0,0,14,258,0,7215,1,0,79,0,1,3,0,0,0,0,1,0,3,0,0,16,9,7
0742 Pvalb Gaba_3,0,0,15,144,0,6377,0,0,75,0,0,4,0,0,0,0,0,0,0,0,0,3,1,5
0743 Pvalb Gaba_4,0,0,1,17,0,1074,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3
0744 Pvalb Gaba_4,0,0,7,23,0,245,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
0745 Pvalb Gaba_4,0,0,58,74,0,202,0,0,71,0,0,4,0,0,0,0,0,0,2,0,0,11,4,0
0746 Pvalb Gaba_4,0,0,16,15,0,326,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,5,9,10
0747 Pvalb Gaba_4,0,0,72,302,0,2274,0,0,39,0,0,6,0,0,0,0,1,0,0,0,0,72,35,62
0748 Pvalb Gaba_5,0,0,258,716,0,348,0,0,1539,0,3,24,0,0,0,2,3,0,36,0,1,17,1,0
0749 Pvalb Gaba_5,0,0,6,37,0,10,0,0,348,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0750 Pvalb Gaba_5,0,0,5,23,0,6,0,0,43,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0
0751 Pvalb Gaba_6,0,0,3,40,0,94,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0752 Pvalb Gaba_6,0,0,3,2,0,167,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0753 Pvalb Gaba_7,0,0,51,50,0,89,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,19,6,6
0754 Pvalb Gaba_8,0,0,116,2114,1,6632,0,1,141,0,0,8,0,0,0,0,9,0,1,0,0,51,53,7
0755 Pvalb Gaba_9,0,0,3,35,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
0756 Sst Gaba_1,0,0,2,7,0,141,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0757 Sst Gaba_1,0,0,4,12,0,109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4
0758 Sst Gaba_1,0,0,2,19,0,884,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
0759 Sst Gaba_1,0,0,0,8,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
0760 Sst Gaba_1,0,0,2,10,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
0761 Sst Gaba_1,0,0,11,24,0,460,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,24,10,7
0762 Sst Gaba_2,0,0,42,168,0,10,0,0,72,0,0,6,0,0,0,1,1,0,0,0,0,4,2,0
0763 Sst Gaba_2,0,0,52,22,0,3,0,0,204,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
0764 Sst Gaba_2,0,0,281,38,0,26,0,0,182,0,3,45,0,0,0,3,5,0,0,0,3,2,6,0
0765 Sst Gaba_2,0,0,102,1,2,2,0,0,16,0,0,21,0,0,0,2,2,0,0,0,0,0,1,0
0766 Sst Gaba_2,0,0,72,34,0,31,0,0,129,0,1,5,0,0,0,0,0,0,1,0,0,5,2,0
0767 Sst Gaba_3,0,0,0,126,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,11,0
0768 Sst Gaba_3,0,0,1,68,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,38,0
0769 Sst Gaba_3,0,0,11,61,0,14,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1
0770 Sst Gaba_3,0,0,11,248,0,46,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,7,13,0
0771 Sst Gaba_3,0,0,0,61,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0
0772 Sst Gaba_3,0,0,5,225,0,6,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,11,31,0
0773 Sst Gaba_3,0,0,7,43,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0
0774 Sst Gaba_3,0,0,7,124,0,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,19,0
0775 Sst Gaba_3,0,0,0,53,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
0776 Sst Gaba_4,0,0,1,8,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0777 Sst Gaba_4,0,0,12,77,0,931,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4
0778 Sst Gaba_4,0,0,2,26,0,365,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1
0779 Sst Gaba_4,0,0,4,48,0,1406,1,0,6,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0
0780 Sst Gaba_4,0,0,3,35,0,1246,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0
0781 Sst Gaba_5,0,0,19,17,0,192,0,0,18,0,0,1,0,0,0,0,1,0,1,0,0,3,3,3
0782 Sst Gaba_5,0,0,1,3,0,42,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0783 Sst Gaba_5,0,0,33,14,0,355,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5
0784 Sst Gaba_5,0,0,1,5,0,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0785 Sst Gaba_6,0,0,0,169,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,6,0
0786 Sst Gaba_6,0,0,5,277,0,2,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,2,3,0
0787 Sst Gaba_6,0,0,10,210,0,0,0,0,0,0,0,0,2,0,0,0,7,0,6,0,5,13,25,0
0788 Sst Gaba_6,0,0,0,174,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,6,0
0789 Sst Gaba_6,0,0,25,156,0,2,1,0,2,0,0,7,0,0,0,0,1,0,0,0,2,13,2,0
0790 Sst Gaba_6,0,0,2,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0
0791 Sst Gaba_6,0,0,0,108,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
0792 Sst Gaba_7,0,0,1,17,0,2232,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
0793 Sst Gaba_7,0,0,0,3,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0794 Sst Gaba_7,0,0,0,36,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0795 Sst Gaba_8,0,0,0,10,0,737,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0796 Sst Gaba_8,0,0,1,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0797 Sst Gaba_8,0,0,24,70,0,1192,2,0,26,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0
0798 Sst Gaba_9,0,0,2,5,0,203,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0799 Sst Gaba_9,0,0,0,6,0,235,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0800 Sst Gaba_9,0,0,0,1,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0801 Sst Gaba_9,0,0,0,8,0,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0802 Sst Gaba_10,0,0,8,52,0,364,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0
0803 Sst Gaba_10,0,0,8,44,0,2899,2,0,14,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0
0804 Sst Gaba_10,0,0,3,6,0,190,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
0805 Sst Gaba_11,0,0,4,13,0,159,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
0806 Sst Gaba_11,0,0,11,37,0,740,0,0,19,0,0,1,0,0,0,1,0,0,0,0,0,4,4,1
0807 Sst Gaba_12,0,0,0,9,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0808 Sst Gaba_12,0,0,1,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0809 Sst Gaba_12,0,0,11,210,0,140,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,7,3,0
0810 Sst Gaba_13,0,0,4,9,0,274,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,2,1,4
0811 Sst Gaba_13,0,0,174,170,0,667,0,0,117,0,0,6,0,0,0,0,0,0,0,0,0,15,6,8
0812 Sst Gaba_14,0,0,75,25,0,52,0,0,36,0,0,5,0,0,0,0,0,0,1,0,0,19,2,17
0813 Sst Gaba_14,0,0,4,5,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1
0814 Sst Gaba_14,0,0,98,134,0,344,0,0,45,0,0,6,0,0,0,0,0,0,1,0,1,52,30,36
0815 Sst Gaba_15,0,0,1,48,1,34,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0816 Sst Gaba_15,0,0,1,20,0,42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0817 Sst Gaba_15,0,0,1,253,0,66,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0818 Sst Gaba_16,0,0,5,10,0,115,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0819 Sst Gaba_16,0,0,2,7,0,122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0820 Sst Gaba_16,0,0,1,14,0,565,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
0821 Sst Gaba_16,0,0,1,132,0,60,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0822 Sst Gaba_17,0,0,92,5,0,5,0,0,31,0,0,15,0,0,0,1,1,0,0,0,1,1,5,0
0823 Sst Gaba_17,0,0,135,12,1,23,0,0,19,0,8,76,0,0,0,0,0,0,1,0,1,10,2,0
0824 Sst Gaba_17,0,0,1,0,0,5,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0825 Sst Gaba_18,0,0,50,56,0,47,0,0,217,0,3,7,0,0,0,0,0,0,13,0,1,9,3,3
0826 Sst Gaba_18,0,0,26,12,0,20,0,0,45,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0
0827 Sst Gaba_19,0,0,20,205,0,9,0,0,51,0,0,2,0,0,0,0,0,0,0,0,0,8,11,0
0828 Sst Gaba_19,0,0,3,263,0,6,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0
0829 STR Prox1 Lhx6 Gaba_1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0830 STR Prox1 Lhx6 Gaba_1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0831 STR Prox1 Lhx6 Gaba_1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0832 STR Prox1 Lhx6 Gaba_1,0,0,45,0,3,0,0,0,19,0,21,110,0,0,0,0,1,0,0,0,6,0,4,0
0833 STR Prox1 Lhx6 Gaba_2,0,0,22,1,1,5,0,0,4,0,45,542,0,0,0,7,0,0,1,0,0,3,4,0
0834 STR Prox1 Lhx6 Gaba_2,0,0,0,0,0,0,0,0,7,0,7,352,0,0,0,1,0,0,0,0,0,6,0,0
0835 STR Prox1 Lhx6 Gaba_2,0,0,25,0,0,5,0,0,3,0,8,100,0,0,0,1,0,0,0,0,0,3,0,0
0836 STR Prox1 Lhx6 Gaba_2,0,0,0,0,0,2,0,0,0,0,8,1403,1,0,0,1,0,0,0,0,0,4,1,0
0837 STR Prox1 Lhx6 Gaba_3,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0838 STR Prox1 Lhx6 Gaba_3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0839 STR Lhx8 Gaba_1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0
0840 STR Lhx8 Gaba_1,0,0,2,0,0,0,0,0,2,0,7,633,1,0,0,0,0,0,0,0,0,0,0,0
0841 STR Lhx8 Gaba_1,0,0,0,0,67,0,1,0,3,0,83,173,0,0,0,0,1,0,0,0,7,0,1,0
0842 STR Lhx8 Gaba_1,0,0,0,0,7,0,0,0,3,0,39,388,0,0,0,0,0,0,2,0,0,2,4,0
0843 STR Lhx8 Gaba_2,0,0,0,0,21,0,1,0,0,0,47,42,0,0,0,0,0,0,1,0,0,1,0,0
0844 STR Lhx8 Gaba_2,0,0,6,0,13,1,0,0,1,1,102,316,0,0,0,5,0,0,3,0,1,4,4,0
0845 Sst Chodl Gaba_1,0,0,0,0,1,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
0846 Sst Chodl Gaba_1,0,0,1,0,19,0,0,0,0,0,47,68,0,0,0,1,0,0,1,0,0,0,1,0
0847 Sst Chodl Gaba_1,0,0,0,0,2,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0
0848 Sst Chodl Gaba_1,0,0,2,0,2,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0
0849 Sst Chodl Gaba_2,0,0,1,0,2,2,0,0,5,0,56,912,0,0,0,6,1,0,0,0,0,7,4,0
0850 Sst Chodl Gaba_2,0,0,14,5,2,12,0,0,8,0,6,73,0,0,0,1,0,0,0,0,0,2,0,1
0851 Sst Chodl Gaba_2,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0,0,0,0,0,0,0,0,0
0852 Sst Chodl Gaba_2,0,0,10,1,1,8,0,0,31,0,61,981,0,0,0,0,0,0,1,0,0,17,2,1
0853 Sst Chodl Gaba_2,0,0,2,0,0,0,0,0,7,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0
0854 Sst Chodl Gaba_2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0855 Sst Chodl Gaba_3,0,0,0,0,1,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0
0856 Sst Chodl Gaba_3,0,0,0,0,0,0,0,0,7,0,42,23,0,0,0,0,0,0,0,0,0,0,0,0
0857 Sst Chodl Gaba_3,0,0,0,0,0,0,0,0,2,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0
0858 Sst Chodl Gaba_4,0,0,14,5,0,11,0,0,14,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0
0859 Sst Chodl Gaba_4,0,0,123,108,2,1166,0,0,193,0,18,120,0,0,0,10,1,0,14,0,1,138,43,65
0860 Sst Chodl Gaba_5,0,0,7,0,10,2,0,0,3,0,14,22,0,0,0,1,0,0,0,0,0,0,1,0
0861 Sst Chodl Gaba_5,0,0,14,1,2,6,0,0,33,0,52,47,0,0,0,0,0,0,1,0,0,2,0,0
0862 Sst Chodl Gaba_6,0,0,1,0,2,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0
0863 NDB-SI-MA-STRv Lhx8 Gaba_1,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0
0864 NDB-SI-MA-STRv Lhx8 Gaba_1,0,0,0,0,19,0,0,0,0,0,49,25,0,0,0,0,1,0,0,0,0,0,0,0
0865 NDB-SI-MA-STRv Lhx8 Gaba_1,0,0,1,0,44,0,0,0,1,0,54,23,0,0,0,0,2,0,0,0,1,0,0,0
0866 NDB-SI-MA-STRv Lhx8 Gaba_1,0,0,0,0,10,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0
0867 NDB-SI-MA-STRv Lhx8 Gaba_1,0,0,0,0,16,1,0,0,2,0,18,3,0,0,0,0,0,0,3,0,0,0,0,0
0868 NDB-SI-MA-STRv Lhx8 Gaba_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0869 NDB-SI-MA-STRv Lhx8 Gaba_1,0,0,0,0,17,2,0,0,3,0,41,1,0,0,0,0,1,0,1,0,0,0,0,0
0870 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,17,0,0,0,9,0,215,67,0,0,0,0,0,0,0,0,0,0,0,0
0871 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,56,0,0,0,0,0,482,60,0,0,0,0,1,0,0,0,2,0,0,0
0872 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,14,0,0,0,0,0,56,5,0,0,0,0,0,0,0,0,0,0,0,0
0873 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,9,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0
0874 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,51,0,0,0,0,0,204,51,0,0,0,0,2,0,0,0,1,0,0,0
0875 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,16,0,0,0,2,0,73,8,0,0,0,0,1,0,0,0,0,0,1,0
0876 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,18,0,0,0,7,0,275,55,0,0,0,0,3,0,0,0,0,0,2,0
0877 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,9,0,0,0,14,0,182,40,0,0,0,0,0,0,0,0,0,0,0,0
0878 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,9,0,0,0,0,0,121,35,0,0,0,0,0,0,0,0,0,0,0,0
0879 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,25,0,0,0,0,0,154,33,0,0,0,0,3,0,0,0,0,0,0,0
0880 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,35,0,0,0,0,0,103,31,0,0,0,0,0,0,0,0,0,0,1,0
0881 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,7,0,0,0,0,0,34,10,0,0,0,0,0,0,0,0,0,0,0,0
0882 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0883 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,25,0,0,0,0,0,34,35,0,0,0,0,0,0,0,0,0,0,0,0
0884 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,1,0,10,0,0,0,1,0,272,22,0,0,0,0,4,0,1,0,0,0,0,0
0885 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,79,0,0,0,0,0,302,18,0,0,0,0,0,0,0,0,0,0,0,0
0886 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0887 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0888 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,0,0,17,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0
0889 NDB-SI-MA-STRv Lhx8 Gaba_4,0,0,0,0,16,0,1,0,0,0,21,7,0,0,0,0,1,0,0,0,0,1,0,0
0890 NDB-SI-MA-STRv Lhx8 Gaba_4,0,0,0,0,11,0,0,0,0,0,69,5,0,0,0,0,0,0,0,0,0,5,0,0
0891 NDB-SI-MA-STRv Lhx8 Gaba_4,0,0,0,0,36,0,0,0,0,0,524,27,0,0,0,0,0,0,0,0,0,33,2,0
0892 NDB-SI-MA-STRv Lhx8 Gaba_4,0,0,0,0,97,0,0,0,0,1,1230,109,0,1,0,0,0,0,0,0,0,106,1,0
0893 NDB-SI-MA-STRv Lhx8 Gaba_5,0,0,0,0,33,0,0,0,0,0,49,8,0,0,0,0,2,0,0,0,0,0,0,0
0894 NDB-SI-MA-STRv Lhx8 Gaba_5,0,0,0,0,18,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,1,1,0
0895 NDB-SI-MA-STRv Lhx8 Gaba_5,0,0,0,0,32,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0
0896 NDB-SI-MA-STRv Lhx8 Gaba_5,0,0,0,0,19,0,0,0,0,0,60,7,0,0,0,0,0,0,0,0,0,0,0,0
0897 NDB-SI-MA-STRv Lhx8 Gaba_5,0,0,0,0,8,0,0,0,0,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0
0898 NDB-SI-MA-STRv Lhx8 Gaba_5,0,0,0,0,15,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0
0899 NDB-SI-MA-STRv Lhx8 Gaba_6,0,0,0,0,63,0,0,0,0,0,39,17,0,0,0,0,1,0,0,0,0,0,1,0
0900 NDB-SI-MA-STRv Lhx8 Gaba_6,0,0,0,0,42,0,0,0,0,0,21,38,0,0,0,1,0,0,0,0,0,0,2,0
0901 NDB-SI-MA-STRv Lhx8 Gaba_6,0,0,2,0,28,0,0,0,0,0,31,32,0,0,0,0,0,0,0,0,0,0,2,0
0902 NDB-SI-MA-STRv Lhx8 Gaba_6,0,0,0,0,21,0,0,0,0,0,15,28,0,0,0,1,0,0,0,0,0,0,3,0
0903 NDB-SI-MA-STRv Lhx8 Gaba_6,0,0,0,0,14,0,0,0,1,0,14,33,0,0,0,0,0,0,0,0,0,0,0,0
0904 NDB-SI-MA-STRv Lhx8 Gaba_7,0,0,0,0,26,0,0,0,0,0,35,57,0,0,0,0,0,0,0,0,0,0,1,0
0905 NDB-SI-MA-STRv Lhx8 Gaba_7,0,0,0,0,16,0,0,0,0,0,42,34,0,0,0,0,0,0,0,0,0,0,0,0
0906 NDB-SI-MA-STRv Lhx8 Gaba_7,0,0,0,0,23,0,0,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0
0907 NDB-SI-MA-STRv Lhx8 Gaba_8,0,0,1,0,126,0,0,0,9,0,384,106,0,0,0,0,2,0,0,0,1,1,1,0
0908 NDB-SI-MA-STRv Lhx8 Gaba_8,0,0,0,0,71,0,0,0,0,0,209,46,1,0,0,0,0,0,0,0,0,29,0,0
0910 NDB-SI-MA-STRv Lhx8 Gaba_9,0,0,0,1,14,0,0,0,0,0,102,123,0,0,0,0,0,0,0,0,0,1,1,0
0911 NDB-SI-MA-STRv Lhx8 Gaba_9,0,0,0,0,7,0,0,0,0,0,18,13,0,0,0,0,0,0,0,0,0,0,0,0
0912 NDB-SI-MA-STRv Lhx8 Gaba_10,0,0,0,0,5,0,0,0,6,0,40,14,0,0,0,0,0,0,0,0,0,0,0,0
0913 NDB-SI-MA-STRv Lhx8 Gaba_10,0,0,0,0,13,0,0,0,4,0,63,26,0,0,0,0,0,0,0,0,0,0,0,0
0914 NDB-SI-MA-STRv Lhx8 Gaba_10,0,0,0,0,7,0,0,0,5,0,20,12,0,0,0,0,1,0,0,0,0,0,0,0
0915 NDB-SI-MA-STRv Lhx8 Gaba_11,0,0,0,0,2,0,0,0,7,0,82,38,0,0,0,0,0,0,0,0,0,0,0,0
0916 NDB-SI-MA-STRv Lhx8 Gaba_12,0,0,12,0,15,0,0,0,1,0,59,81,0,0,0,3,0,0,0,0,0,0,1,0
0917 NDB-SI-MA-STRv Lhx8 Gaba_13,0,0,0,0,2,0,0,0,1,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0
0918 GPe-SI Sox6 Cyp26b1 Gaba_1,0,0,0,0,1,0,1,0,0,0,460,43,0,0,0,0,0,0,0,0,0,63,0,0
0919 GPe-SI Sox6 Cyp26b1 Gaba_2,0,0,0,0,24,0,0,0,3,0,206,76,0,0,0,0,0,0,0,1,0,19,0,0
0920 GPe-SI Sox6 Cyp26b1 Gaba_2,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
0921 GPe-SI Sox6 Cyp26b1 Gaba_2,0,0,0,0,1,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,0,0
0922 GPe-SI Sox6 Cyp26b1 Gaba_2,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0
0923 PAL-STR Gaba-Chol_1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0924 PAL-STR Gaba-Chol_1,0,0,0,0,37,0,1,0,0,0,72,40,0,0,0,1,2,0,1,0,1,0,0,0
0925 PAL-STR Gaba-Chol_1,0,0,0,0,21,0,0,0,0,0,133,26,0,0,0,0,1,0,0,0,2,0,0,0
0926 PAL-STR Gaba-Chol_1,0,0,0,0,28,0,0,0,0,0,101,11,0,0,0,0,2,0,0,0,1,0,1,0
0927 PAL-STR Gaba-Chol_1,0,0,0,0,92,0,0,1,1,1,471,66,1,0,0,0,4,0,0,2,1,38,0,0
0928 PAL-STR Gaba-Chol_1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0929 PAL-STR Gaba-Chol_2,0,0,0,0,10,0,0,0,0,0,55,84,0,0,0,0,0,0,0,0,0,1,1,0
0930 PAL-STR Gaba-Chol_2,0,0,0,0,2,0,0,0,0,0,39,33,0,0,0,0,0,0,0,0,0,0,0,0
