subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
200 PAG-ND-PCG Onecut1 Gaba,0,14,0,0,2,0,350,45,0,318,0,0,0,0,27,0,2,10,23,7,0,0,2,0
201 PAG-RN Nkx2-2 Otx1 Gaba,19,26,0,0,0,0,1054,0,0,13,0,1,0,0,0,0,0,3,9,4,0,0,2,0
202 PRT Tcf7l2 Gaba,0,0,0,6,9,0,2669,0,0,8,0,0,69,9,0,0,54,0,32,0,0,0,0,0
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,0,0,0,64,43,2,253,0,1,0,0,2,615,1,0,2,49,0,6,0,76,21,35,0
204 SC Otx2 Gcnt4 Gaba,0,0,0,1,0,2,568,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
205 SC-PAG Lef1 Emx2 Gaba,1,4,0,0,0,0,3098,0,0,0,0,0,1,0,0,0,3,1,19,0,0,0,0,0
206 SCm-PAG Cdh23 Gaba,9,1,0,0,0,0,659,0,0,1,0,0,0,1,0,0,4,0,31,0,0,0,0,0
207 SCs Dmbx1 Gaba,0,0,0,9,0,18,6047,1,0,0,0,0,0,0,0,0,20,0,24,0,1,0,0,0
208 SC Lef1 Otx2 Gaba,0,0,0,0,0,15,1526,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,0,0
209 SCs Pax7 Nfia Gaba,1,0,0,0,0,1,2472,0,1,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0
210 PRT Mecom Gaba,0,0,0,3,0,0,138,0,0,0,0,0,2,0,0,0,17,0,9,0,0,0,0,0
211 SC Tnnt1 Gli3 Gaba,0,1,0,2,0,5,1347,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0
212 SCs Lef1 Gli3 Gaba,0,0,0,0,1,0,899,11,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
213 SCsg Gabrr2 Gaba,1,4,0,32,8,21,3578,0,0,2,3,0,157,0,0,0,75,0,39,0,16,18,4,0
214 IPN Otp Crisp1 Gaba,0,0,0,0,3,0,813,0,0,51,0,0,0,0,0,0,37,0,0,0,0,0,0,0
215 SNc-VTA-RAmb Foxa1 Dopa,75,0,0,0,64,0,1978,1,0,40,0,0,1,3,0,0,3,45,69,132,0,15,27,0
216 MB-MY Tph2 Glut-Sero,65,7,0,0,3,0,919,655,0,1587,0,2,0,0,20,0,1,38,180,38,0,21,0,0
217 PB Lmx1a Glut,0,147,0,0,0,0,27,10,0,1069,0,0,0,0,4,0,11,279,5,2,0,0,0,0
218 PSV Lmx1a Trpv6 Glut,0,2,0,0,0,0,1,9,1,74,0,0,0,0,0,0,0,6,3,0,0,0,0,0
219 PB-SUT Tlx3 Lhx2 Glut,0,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220 PB Pax5 Glut,0,7,0,0,0,0,67,5,0,159,0,0,0,0,2,0,6,20,2,1,0,0,0,0
221 LDT-PCG Vsx2 Lhx4 Glut,6,31,0,0,2,0,499,80,0,1189,1,1,1,0,75,0,0,47,20,23,0,0,0,0
222 PB Evx2 Glut,1,122,0,0,0,1,648,12,1,1212,5,5,0,0,7,0,13,259,96,6,0,0,0,0
223 B-PB Nr4a2 Glut,0,1,0,0,0,0,2,3,0,83,0,0,0,0,8,0,1,1,2,0,0,0,0,0
224 PCG-PRNr Vsx2 Nkx6-1 Glut,0,12,0,0,0,0,208,70,0,832,1,0,0,0,6,0,0,8,4,31,0,0,0,0
225 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,0,0,0,0,0,0,0,103,0,475,0,0,1,0,2,0,0,0,45,14,0,0,0,0
226 PRNc-PARN Tlx1 Glut,0,0,0,0,5,0,1,19,0,74,0,0,0,0,0,0,0,1,1,0,0,0,0,0
227 PB-PSV Phox2b Glut,0,1,0,0,0,0,0,15,0,55,0,0,0,0,0,0,0,13,0,1,0,0,0,0
228 PSV Pvalb Lhx2 Glut,0,34,0,0,0,0,1,91,0,2978,0,0,0,0,0,0,0,110,322,13,0,0,0,0
229 PB-NTS Phox2b Ebf3 Lmx1b Glut,0,2,0,0,1,0,15,254,0,446,0,0,0,0,2,0,5,24,11,0,0,0,0,0
230 PRNr Otp Nfib Glut,0,0,0,0,0,0,0,5,0,115,0,0,0,0,0,0,0,0,0,1,0,0,0,0
231 IPN-LDT Vsx2 Nkx6-1 Glut,0,3,0,0,1,0,400,2,0,17,0,1,0,0,0,0,25,6,5,1,0,0,1,0
232 LDT Vsx2 Nkx6-1 Nfib Glut,6,1,0,0,0,0,164,0,1,12,0,0,0,0,0,0,0,2,0,1,0,0,0,0
233 NLL-SOC Spp1 Glut,0,3,0,0,0,0,2,24,2,574,0,0,1,0,3,0,0,28,67,5,0,0,0,0
234 MEV Ppp1r1c Glut,0,7,0,0,0,0,27,2,0,21,0,0,0,0,0,0,1,2,1,0,0,0,0,0
235 PG-TRN-LRN Fat2 Glut,0,250,1,0,0,0,19,1687,0,10058,0,0,0,0,61,35,169,176,483,87,0,142,0,0
236 IRN Vip Glut,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
237 PRP-NI-PRNc-GRN Otp Glut,0,1,0,0,0,0,3,234,0,484,1,0,0,0,0,0,0,0,24,9,0,0,0,0
238 NTS Phox2b Glut,0,1,0,0,0,0,2,1940,0,32,0,0,0,0,3,0,35,1,14,1,0,0,0,0
239 MARN-GRN Pyy Glut,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0
240 MDRNv Lhx4 Qrfprl Glut,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241 NTS Mbnl3 Glut,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242 PGRNd Dmbx1 Glut,0,0,0,0,0,0,0,120,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
243 PGRN-PARN-MDRN Hoxb5 Glut,0,2,0,0,1,0,11,2048,0,140,0,0,0,0,0,0,0,13,26,30,0,0,0,0
244 MV-SPIV Slc6a2 Glut,0,22,0,0,0,0,0,128,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0
245 SPVI-SPVC Tlx3 Ebf3 Glut,0,57,0,0,1,0,0,1126,0,1,0,0,0,0,9,3,46,26,66,30,0,0,0,0
246 CU-ECU-SPVI Foxb1 Glut,0,121,0,0,1,0,4,836,1,9,0,0,0,0,2,0,53,18,42,0,0,0,0,0
247 MV-SPIV Phox2b Ebf3 Lbx1 Glut,0,0,0,0,0,0,0,366,0,58,0,0,0,0,1,0,0,2,7,0,0,0,0,0
248 MV-SPIV Zic4 Neurod2 Glut,0,21,0,0,0,0,0,437,0,6,0,1,0,0,10,7,0,1,2,1,0,0,0,0
249 NTS Aldh1a2 Glut,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250 CBN Neurod2 Pvalb Glut,0,365,0,0,0,0,3,73,0,17,0,0,0,0,4,2,0,174,1,0,0,0,0,0
251 NTS Dbh Glut,0,53,0,0,1,0,4,530,0,482,0,0,0,0,81,9,29,18,5,6,0,0,0,0
252 DMX VII Tbx20 Chol,0,0,0,0,0,0,0,432,0,53,0,0,0,0,0,0,1,1,7,9,0,1,0,0
253 IO Fgl2 Glut,0,0,0,0,0,0,0,2134,0,0,0,0,0,0,0,0,0,0,32,89,0,180,0,0
254 VCO Mafa Meis2 Glut,0,609,0,0,0,0,0,1496,6,45,0,0,1,0,119,31,2,193,125,1,0,0,0,0
255 SPVO Mafa Meis2 Glut,0,0,0,0,0,0,0,246,0,61,0,0,0,0,0,0,0,1,30,0,0,0,0,0
256 SPVC Mafa Glut,0,14,0,0,0,1,5,1051,3,0,1,33,3,0,0,0,19,3,41,15,0,0,1,0
257 SPVC Ccdc172 Glut,0,31,0,0,0,0,0,159,1,0,0,9,0,0,0,0,6,21,26,10,0,0,0,0
258 SPVC Nmu Glut,0,8,0,0,0,0,1,125,0,0,0,3,0,0,0,0,5,3,5,10,0,0,0,0
259 MDRNd Bves Glut,0,0,0,0,0,0,2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260 MDRNv Crp Glut,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
261 HB Calcb Chol,0,0,0,0,0,0,100,670,2,241,0,0,0,0,0,0,0,0,45,3,0,3,2,0
262 Pineal Crx Glut,0,7,0,0,0,40,66,0,0,0,0,0,1,124,0,3,300,0,1,0,0,0,3,0
263 CS-RPO Meis2 Gaba,0,1,0,0,1,0,82,24,0,951,2,0,0,0,11,0,0,2,14,39,0,0,0,0
264 PRNc Otp Gly-Gaba,0,0,0,0,1,0,6,112,0,962,0,0,0,0,1,0,1,0,26,63,0,0,0,0
265 PB Sst Gly-Gaba,2,12,0,0,0,0,7,9,0,114,0,0,0,0,2,0,3,11,16,2,0,0,0,0
266 PRNc Prox1 Brs3 Gly-Gaba,0,0,0,0,0,0,0,38,0,78,0,0,0,0,0,0,0,0,5,2,0,0,0,0
267 CS-PRNr-PCG Tmem163 Otp Gaba,0,2,0,0,0,0,89,2,0,485,0,0,0,0,3,0,0,5,1,9,0,0,0,0
268 CS-PRNr-DR En1 Sox2 Gaba,1,1,0,0,0,0,479,0,0,394,0,0,0,0,0,0,0,39,7,30,0,1,1,0
269 LDT Fgf7 Gaba,2,27,0,0,0,0,29,0,0,48,0,0,0,0,4,0,0,0,0,0,0,0,0,0
270 LDT-DTN Gata3 Nfix Gaba,0,0,0,0,0,0,140,0,0,265,0,0,0,0,3,0,0,0,6,0,0,0,0,0
271 NI-RPO Gata3 Nr4a2 Gaba,0,0,0,0,0,0,16,34,0,311,0,0,0,0,27,0,0,0,11,5,0,0,0,0
272 LDT-PCG-CS Gata3 Lhx1 Gaba,0,3,0,0,1,0,156,0,0,398,0,0,0,0,3,0,2,6,2,1,0,0,0,0
273 PDTg-PCG Pax6 Gaba,1,16,0,0,0,0,101,34,0,395,1,1,0,0,32,0,0,1,2,2,0,0,0,0
274 PDTg Otp Shroom3 Gaba,0,4,0,0,0,0,0,1,0,50,0,0,0,0,13,0,0,0,0,0,0,0,0,0
275 PDTg Otp Olig3 Gaba,0,1,0,0,0,0,2,7,0,107,0,0,1,0,62,0,0,0,0,0,0,0,0,0
276 LDT-PCG St18 Gaba,0,2,0,0,0,0,50,5,0,242,0,0,0,0,10,0,0,1,0,0,0,0,0,0
277 DTN-LDT-IPN Otp Pax3 Gaba,0,72,0,0,18,0,1252,3,0,1174,4,2,0,0,48,0,91,1,11,0,1,0,0,0
278 NLL Gata3 Gly-Gaba,0,1,0,0,0,0,48,120,0,1159,1,1,0,0,0,0,0,12,163,51,0,1,0,0
279 PSV Pax2 Gly-Gaba,0,0,0,0,0,0,0,3,0,47,0,0,0,0,0,0,0,2,6,0,0,0,0,0
280 NLL-po Pax7 Gaba,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,16,0,0,0,0,0
281 POR Gata3 Gly-Gaba,0,0,0,0,0,0,0,22,1,284,0,0,0,0,0,0,0,1,26,0,0,0,0,0
282 POR Spp1 Gly-Gaba,0,1,0,0,0,0,0,7,0,46,0,0,0,0,0,0,0,3,3,8,0,0,0,0
283 PRP Otp Gly-Gaba,0,0,0,0,0,0,0,757,0,101,0,0,0,0,4,0,0,0,15,5,0,1,0,0
284 GRN-IRN-MDRNd Ikzf1 Gly-Gaba,0,0,0,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285 MY Lhx1 Gly-Gaba,0,6,0,0,0,0,6,2165,0,799,0,0,0,0,0,0,1,12,74,29,0,4,0,0
286 PPY-PGRNl Vip Glyc-Gaba,0,1,0,0,0,0,0,297,0,1,0,0,0,0,0,0,0,0,9,8,0,1,0,0
287 MV-SPIV-PRP Dmbx1 Gly-Gaba,0,28,0,0,0,0,1,466,0,69,0,0,0,0,26,3,0,44,3,0,0,0,0,0
288 MDRN Hoxb5 Ebf2 Gly-Gaba,0,0,0,0,0,0,1,223,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0
289 MDRNd Prox1 Pax6 Gly-Gaba,0,0,0,0,0,0,0,28,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290 MY Prox1 Lmo7 Gly-Gaba,0,1,0,0,0,0,0,150,0,28,0,0,0,0,0,2,0,4,3,1,0,0,0,0
291 NTS-MDRNd Prox1 Zic1 Gly-Gaba,0,12,0,0,0,0,1,145,0,8,0,0,1,0,9,6,6,2,4,0,0,0,0,0
292 MV Nkx6-1 Gly-Gaba,0,6,0,0,0,0,0,465,0,13,0,0,0,0,28,10,0,1,3,0,0,0,0,0
293 PAS-MV Ebf2 Gly-Gaba,0,101,0,0,0,0,0,998,0,4,0,0,0,0,70,20,71,4,10,0,0,0,0,0
294 MV Pax6 Gly-Gaba,0,6,0,0,0,0,0,215,0,51,0,0,0,0,2,1,0,3,0,0,0,0,0,0
295 CBN Dmbx1 Gaba,0,1085,0,0,2,0,6,67,0,16,0,0,0,0,8,1,0,473,0,0,0,1,0,0
296 RPA Pax6 Hoxb5 Gly-Gaba,0,0,0,0,0,0,0,393,0,16,0,0,0,0,0,0,0,0,26,4,0,21,0,0
297 CU-ECU Pax2 Gly-Gaba,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0
298 PRP Gata3 Slc6a5 Gly-Gaba,0,1,0,0,0,0,0,125,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0
299 MARN-PPY Ngfr Gly-Gaba,0,0,0,0,0,0,0,133,0,22,0,0,0,0,0,0,0,0,0,2,0,2,0,0
300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,0,19,0,0,0,0,0,1094,0,1,0,0,0,0,0,1,10,7,3,2,0,0,0,0
301 MV Nr4a2 Gly-Gaba,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302 MV Xdh Gly-Gaba,0,0,0,0,0,0,0,11,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303 IRN Dmbx1 Pax2 Gly-Gaba,0,0,0,0,0,0,0,395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304 NTS-PARN Neurod2 Gly-Gaba,0,29,0,0,0,0,2,937,0,14,0,0,0,0,69,4,39,3,5,2,0,0,0,0
305 SPVI-SPVC Sall3 Nfib Gly-Gaba,0,25,0,0,0,0,0,585,0,1,0,0,0,0,1,2,20,12,28,6,0,0,0,0
306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba,0,44,0,0,0,0,1,946,0,0,0,0,0,0,0,0,28,10,44,5,0,0,0,0
307 RO-RPA Pkd2l1 Gaba,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
308 DCO Il22 Gly-Gaba,0,283,0,0,0,0,0,688,0,2,0,0,0,0,106,18,0,174,5,0,0,0,0,0
309 CB PLI Gly-Gaba,5,2448,0,0,0,0,10,56,0,4,0,0,0,0,13,6,5,351,2,0,0,0,0,0
310 CBX Golgi Gly-Gaba,2,743,0,0,0,0,1,27,0,6,0,0,0,0,4,4,3,117,1,0,0,0,0,0
311 CBX MLI Megf11 Gaba,350,78486,0,13,0,0,1543,99,1,100,0,0,0,1,387,276,154,2244,50,0,0,0,0,0
312 CBX MLI Cdh22 Gaba,94,19343,0,2,0,0,388,25,0,26,0,0,0,0,126,111,36,502,10,0,0,0,0,0
313 CBX Purkinje Gaba,12,5245,0,0,0,0,20,3,0,0,0,0,0,0,8,5,14,236,1,0,0,0,0,0
314 CB Granule Glut,395,329590,3,25,4,9,886,6592,14,1577,0,5,7,3,1580,859,266,58223,820,5,0,6,1,0
315 DCO UBC Glut,3,1506,1,2,1,2,26,1077,18,191,2,0,1,0,146,22,3,409,75,0,0,0,0,0
316 Bergmann NN,99,34067,0,1,0,2,267,34,17,4,1,1,0,0,164,148,60,1670,13,0,0,0,0,0
317 Astro-CB NN,1,2322,0,1,5,5,5,85,75,20,0,2,0,1,24,11,6,1272,25,0,1,1,0,0
318 Astro-NT NN,1124,7780,361,1512,33862,470,71327,37323,841,28669,14350,5698,29128,1121,1714,411,3079,5022,5937,1568,1436,4269,1934,8
319 Astro-TE NN,0,34,12355,80945,74,156267,551,13,39469,7,1838,46579,338,116,1,3568,1707,4,2581,1,477,22119,9296,3185
320 Astro-OLF NN,0,11,0,24,4,230,0,1,17298,0,4,15,3,0,0,12,4,3,1011,0,0,1,2,0
321 Astroependymal NN,63,90,0,89,11,42,217,87,42,3,6,16,176,64,89,56,84,2,16,0,4,8,54,0
322 Tanycyte NN,0,4,0,7,1530,7,3,0,18,0,3,5,5,1064,1,66,27,0,56,0,11,0,6,0
323 Ependymal NN,1448,1123,63,651,1746,0,1401,410,25,174,64,2254,667,3488,1104,6568,359,108,119,0,119,943,1320,0
324 Hypendymal NN,9,2,0,0,0,2,313,2,2,0,0,0,1,380,1,4,1,0,34,0,1,0,6,0
325 CHOR NN,0,2469,4,400,0,4,0,1185,0,0,7,1763,151,925,1982,13954,358,268,71,0,300,156,963,0
326 OPC NN,108,5223,5007,19398,6851,42783,13614,7945,16529,6356,4413,13752,7214,286,213,405,721,1951,2468,457,618,5966,3348,814
327 Oligo NN,109,27315,6058,33102,31125,77887,104751,97876,23979,68466,29396,60444,50159,1998,1240,3778,7310,31022,32408,5539,7631,108542,47195,9509
328 OEC NN,0,0,0,0,2,522,0,1,19554,0,0,0,0,2,0,4,0,0,21602,0,0,1,0,0
329 ABC NN,0,2010,26,1641,375,4643,626,394,1584,344,17,125,1,99,73,125,1583,226,1410,14,67,30,3,0
330 VLMC NN,103,8590,348,7930,1737,16568,6142,3227,7412,1957,797,2792,1904,520,480,1586,7451,1101,4805,80,695,831,711,49
331 Peri NN,88,6457,1609,8193,3207,25162,8465,5053,7839,3781,1721,7058,4652,129,210,352,482,1370,1582,241,248,2104,1115,419
332 SMC NN,30,3492,407,3840,1239,8268,4108,2282,3151,1617,738,2728,1484,40,108,104,2672,440,1437,121,204,530,259,30
333 Endo NN,512,39422,8812,54671,18347,174063,51455,34862,54552,24401,9739,44522,25084,820,1102,1460,4763,7456,10079,1520,1447,10412,5778,2248
334 Microglia NN,104,4705,5223,22530,5985,72681,12720,7869,22948,5404,5770,22465,7370,281,211,663,1054,1962,3317,434,520,6429,3074,1070
335 BAM NN,11,1262,158,1400,381,3077,1375,772,1680,495,253,951,455,122,89,313,986,207,937,19,115,240,177,27
336 Monocytes NN,0,8,0,2,2,13,7,3,6,1,1,1,3,1,0,2,0,3,2,0,0,1,0,0
337 DC NN,1,59,15,70,14,160,55,33,90,17,9,22,21,9,1,12,56,10,43,0,5,13,4,0
338 Lymphoid NN,1,392,47,312,83,987,331,235,498,147,52,239,113,28,23,85,129,67,246,4,23,73,45,13
