subclass,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
049 Lamp5 Gaba,0,0,416,1640,7,12618,15,0,1773,0,48,346,11,0,0,2,29,0,80,0,6,137,64,78
050 Lamp5 Lhx6 Gaba,0,0,357,2896,3,511,5,0,213,0,7,105,3,4,0,10,38,0,2,0,6,180,143,63
051 Pvalb chandelier Gaba,0,0,328,730,0,1067,1,0,663,0,0,113,0,0,0,4,0,0,1,0,1,27,14,12
052 Pvalb Gaba,0,0,1000,4802,3,31534,1,1,2699,0,5,157,0,0,0,9,20,0,44,0,3,252,204,119
053 Sst Gaba,0,0,1498,4647,4,19519,8,0,1402,0,25,234,5,0,0,11,34,0,26,0,15,317,315,104
054 STR Prox1 Lhx6 Gaba,0,0,97,2,5,12,0,0,33,0,93,2523,1,0,0,10,1,0,1,0,6,16,9,0
055 STR Lhx8 Gaba,0,0,8,0,108,2,2,0,9,1,278,1557,1,0,0,6,1,0,6,0,8,7,10,0
056 Sst Chodl Gaba,0,0,189,120,46,1207,0,0,303,0,369,2335,0,0,0,19,2,0,18,0,1,169,51,67
057 NDB-SI-MA-STRv Lhx8 Gaba,0,0,17,1,1286,3,1,0,73,1,5969,1461,1,1,0,5,25,0,5,0,6,177,20,0
058 PAL-STR Gaba-Chol,0,0,2,0,230,0,2,1,18,1,1187,2058,1,0,0,1,10,0,1,2,6,48,3,0
059 GPe-SI Sox6 Cyp26b1 Gaba,0,0,0,0,27,0,1,0,3,0,714,132,0,0,0,0,0,0,0,1,0,82,0,0
060 OT D3 Folh1 Gaba,0,0,3,0,23,2,0,0,1488,0,2418,13918,2,0,0,1,15,0,85,0,0,0,0,0
061 STR D1 Gaba,0,1,128,7,47,65,0,2,403,0,1973,106042,0,0,0,155,4,0,84,0,1,844,71,12
062 STR D2 Gaba,0,0,187,8,36,68,4,0,289,1,1637,88821,0,0,0,154,1,0,90,0,2,780,63,11
063 STR D1 Sema5a Gaba,0,0,157,0,3,26,1,0,467,0,409,9907,0,0,0,42,1,0,28,0,1,140,43,1
064 STR-PAL Chst9 Gaba,0,0,3127,14,269,165,1,0,831,0,2071,11395,17,0,0,136,20,0,147,1,59,590,455,7
065 IA Mgp Gaba,0,0,258,1,2,11,0,0,335,0,17,161,0,0,0,0,0,0,4,0,0,8,8,0
066 NDB-SI-ant Prdm12 Gaba,0,0,15,0,10,8,0,0,1224,0,216,639,0,0,0,0,1,0,71,0,0,1,2,0
067 LSX Sall3 Pax6 Gaba,0,0,0,0,2,1,1,0,122,0,72,509,1,0,0,0,1,0,2,0,3,0,23,0
068 LSX Otx2 Gaba,0,0,0,0,14,0,0,0,9,0,124,1485,3,11,3,21,0,0,0,0,0,0,12,0
069 LSX Nkx2-1 Gaba,4,0,0,0,21,0,0,0,16,0,112,2538,2,11,1,18,6,0,3,0,0,9,16,0
070 LSX Prdm12 Slit2 Gaba,0,0,1,0,0,1,0,0,131,0,170,3347,0,2,0,28,2,0,0,0,0,18,59,0
071 LSX Prdm12 Zeb2 Gaba,0,0,0,6,0,1,0,0,28,0,27,3818,0,0,0,90,23,0,0,0,0,159,134,0
072 LSX Sall3 Lmo1 Gaba,0,0,0,17,0,1,0,0,43,0,122,1201,0,1,0,6,56,0,0,0,0,20,133,0
073 MEA-BST Sox6 Gaba,4,11,69,7,308,2,3,1,402,0,331,1005,6,15,7,26,9,0,12,0,5,7,43,0
074 MEA-BST Lhx6 Sp9 Gaba,0,0,14,1,131,3,1,1,32,1,184,611,4,1,0,2,0,0,5,0,12,1,45,0
075 MEA-BST Lhx6 Nr2e1 Gaba,0,2,63,0,31,0,0,0,20,0,74,230,1,0,0,1,3,0,2,0,6,0,14,0
076 MEA-BST Lhx6 Nfib Gaba,0,0,32,13,450,0,0,0,32,0,456,827,7,6,0,7,8,0,69,0,61,1,82,0
077 CEA-BST Gal Avp Gaba,0,0,0,0,15,0,0,0,0,0,50,58,0,0,0,0,0,0,0,0,2,0,8,0
078 SI-MA-ACB Ebf1 Bnc2 Gaba,0,10,1,0,32,0,0,0,17,0,214,285,0,0,0,0,0,0,0,0,0,0,0,0
079 CEA-BST Six3 Cyp26b1 Gaba,0,0,19,1,3,0,0,0,1,0,321,2259,0,0,0,36,0,0,1,0,7,14,20,0
080 CEA-AAA-BST Six3 Sp9 Gaba,0,2,155,0,77,13,0,0,119,0,246,861,0,0,0,1,0,0,3,0,1,1,14,0
081 ACB-BST-FS D1 Gaba,0,0,5,0,88,0,0,0,6,0,797,452,0,0,0,0,0,0,10,0,0,0,14,0
082 CEA-BST Ebf1 Pdyn Gaba,4,0,2,1,61,0,1,2,1,0,831,2100,4,8,5,15,1,0,7,0,3,59,45,0
083 CEA-BST Rai14 Pdyn Crh Gaba,0,0,1,0,34,0,0,0,0,0,215,81,0,0,0,3,0,0,2,0,3,9,4,0
084 BST-SI-AAA Six3 Slc22a3 Gaba,0,0,0,0,164,0,0,0,1,0,91,54,0,0,0,0,1,0,1,0,0,0,1,0
085 SI-MPO-LPO Lhx8 Gaba,0,0,1,0,1314,0,0,0,5,0,681,258,0,10,0,0,2,0,8,0,11,9,5,0
