supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0205 Pvalb Gaba_1,0,0,33,181,0,1216,0,0,20,0,0,2,0,0,0,1,1,0,0,0,0,41,30,16
0206 Pvalb Gaba_2,0,0,337,737,2,87,0,0,268,0,1,94,0,0,0,6,4,0,0,0,2,13,45,0
0207 Pvalb Gaba_3,0,0,31,436,0,18720,1,0,158,0,1,7,0,0,0,0,2,0,3,0,0,19,10,12
0208 Pvalb Gaba_4,0,0,154,431,0,4121,0,0,137,0,0,15,0,0,0,0,1,0,2,0,0,89,50,78
0209 Pvalb Gaba_5,0,0,269,776,0,364,0,0,1930,0,3,28,0,0,0,2,3,0,38,0,1,17,2,0
0210 Pvalb Gaba_6,0,0,6,42,0,261,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
0211 Pvalb Gaba_7,0,0,51,50,0,89,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,19,6,6
0212 Pvalb Gaba_8,0,0,116,2114,1,6632,0,1,141,0,0,8,0,0,0,0,9,0,1,0,0,51,53,7
0213 Pvalb Gaba_9,0,0,3,35,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
0214 Sst Gaba_1,0,0,21,80,0,2347,1,0,18,0,0,0,0,0,0,0,0,0,1,0,0,33,16,16
0215 Sst Gaba_2,0,0,549,263,2,72,0,0,603,0,4,80,0,0,0,6,8,0,1,0,3,13,11,0
0216 Sst Gaba_3,0,0,42,1009,0,127,0,0,6,0,0,0,0,0,0,3,12,0,1,0,0,47,140,1
0217 Sst Gaba_4,0,0,22,194,0,4024,1,0,30,0,2,5,0,0,0,0,0,0,0,0,0,20,4,5
0218 Sst Gaba_5,0,0,54,39,0,749,0,0,47,0,1,2,0,0,0,0,1,0,1,0,0,9,5,9
0219 Sst Gaba_6,0,0,42,1145,0,11,1,0,3,0,1,8,5,0,0,0,11,0,6,0,8,42,52,0
0220 Sst Gaba_7,0,0,1,56,0,2550,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
0221 Sst Gaba_8,0,0,25,82,0,1951,2,0,27,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0
0222 Sst Gaba_9,0,0,2,20,0,680,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
0223 Sst Gaba_10,0,0,19,102,0,3453,2,0,31,0,0,5,0,0,0,0,0,0,0,0,0,6,5,2
0224 Sst Gaba_11,0,0,15,50,0,899,0,0,27,0,0,3,0,0,0,1,0,0,0,0,0,5,6,1
0225 Sst Gaba_12,0,0,12,227,0,165,0,0,6,0,1,3,0,0,0,0,0,0,0,0,0,7,4,0
0226 Sst Gaba_13,0,0,178,179,0,941,0,0,124,0,0,8,0,0,0,0,0,0,0,0,0,17,7,12
0227 Sst Gaba_14,0,0,177,164,0,431,0,0,82,0,0,11,0,0,0,0,0,0,2,0,1,78,35,54
0228 Sst Gaba_15,0,0,3,321,1,142,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0229 Sst Gaba_16,0,0,9,163,0,862,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0
0230 Sst Gaba_17,0,0,228,17,1,33,0,0,54,0,8,92,0,0,0,1,1,0,1,0,2,11,7,0
0231 Sst Gaba_18,0,0,76,68,0,67,0,0,262,0,4,10,0,0,0,0,0,0,13,0,1,10,4,3
0232 Sst Gaba_19,0,0,23,468,0,15,1,0,56,0,0,2,0,0,0,0,1,0,0,0,0,10,16,0
0233 STR Prox1 Lhx6 Gaba_1,0,0,47,1,4,0,0,0,19,0,23,120,0,0,0,0,1,0,0,0,6,0,4,0
0234 STR Prox1 Lhx6 Gaba_2,0,0,47,1,1,12,0,0,14,0,68,2397,1,0,0,10,0,0,1,0,0,16,5,0
0235 STR Prox1 Lhx6 Gaba_3,0,0,3,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
0236 STR Lhx8 Gaba_1,0,0,2,0,74,1,1,0,8,0,129,1199,1,0,0,1,1,0,2,0,7,2,6,0
0237 STR Lhx8 Gaba_2,0,0,6,0,34,1,1,0,1,1,149,358,0,0,0,5,0,0,4,0,1,5,4,0
0238 Sst Chodl Gaba_1,0,0,3,0,24,0,0,0,0,0,68,83,0,0,0,1,0,0,1,0,0,0,1,0
0239 Sst Chodl Gaba_2,0,0,27,6,5,22,0,0,51,0,144,2014,0,0,0,7,1,0,1,0,0,26,6,2
0240 Sst Chodl Gaba_3,0,0,0,0,1,0,0,0,9,0,62,37,0,0,0,0,0,0,0,0,0,0,0,0
0241 Sst Chodl Gaba_4,0,0,137,113,2,1177,0,0,207,0,18,123,0,0,0,10,1,0,15,0,1,141,43,65
0242 Sst Chodl Gaba_5,0,0,21,1,12,8,0,0,36,0,66,69,0,0,0,1,0,0,1,0,0,2,1,0
0243 Sst Chodl Gaba_6,0,0,1,0,2,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0
0244 NDB-SI-MA-STRv Lhx8 Gaba_1,0,0,1,0,108,3,0,0,6,0,177,60,0,0,0,0,4,0,4,0,2,0,0,0
0245 NDB-SI-MA-STRv Lhx8 Gaba_2,0,0,0,0,199,0,0,0,32,0,1629,325,0,0,0,0,7,0,0,0,3,0,3,0
0246 NDB-SI-MA-STRv Lhx8 Gaba_3,0,0,1,0,199,0,0,0,1,0,933,157,0,0,0,0,7,0,1,0,0,0,1,0
0247 NDB-SI-MA-STRv Lhx8 Gaba_4,0,0,0,0,160,0,1,0,0,1,1844,148,0,1,0,0,1,0,0,0,0,145,3,0
0248 NDB-SI-MA-STRv Lhx8 Gaba_5,0,0,0,0,125,0,0,0,0,0,194,53,0,0,0,0,2,0,0,0,0,1,1,0
0249 NDB-SI-MA-STRv Lhx8 Gaba_6,0,0,2,0,168,0,0,0,1,0,120,148,0,0,0,2,1,0,0,0,0,0,8,0
0250 NDB-SI-MA-STRv Lhx8 Gaba_7,0,0,0,0,65,0,0,0,0,0,84,101,0,0,0,0,0,0,0,0,0,0,1,0
0251 NDB-SI-MA-STRv Lhx8 Gaba_8,0,0,1,0,197,0,0,0,9,0,593,152,1,0,0,0,2,0,0,0,1,30,1,0
0252 NDB-SI-MA-STRv Lhx8 Gaba_9,0,0,0,1,21,0,0,0,0,0,120,136,0,0,0,0,0,0,0,0,0,1,1,0
0253 NDB-SI-MA-STRv Lhx8 Gaba_10,0,0,0,0,25,0,0,0,15,0,123,52,0,0,0,0,1,0,0,0,0,0,0,0
0254 NDB-SI-MA-STRv Lhx8 Gaba_11,0,0,0,0,2,0,0,0,7,0,82,38,0,0,0,0,0,0,0,0,0,0,0,0
0255 NDB-SI-MA-STRv Lhx8 Gaba_12,0,0,12,0,15,0,0,0,1,0,59,81,0,0,0,3,0,0,0,0,0,0,1,0
0256 NDB-SI-MA-STRv Lhx8 Gaba_13,0,0,0,0,2,0,0,0,1,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0
0257 GPe-SI Sox6 Cyp26b1 Gaba_1,0,0,0,0,1,0,1,0,0,0,460,43,0,0,0,0,0,0,0,0,0,63,0,0
0258 GPe-SI Sox6 Cyp26b1 Gaba_2,0,0,0,0,26,0,0,0,3,0,254,89,0,0,0,0,0,0,0,1,0,19,0,0
0259 PAL-STR Gaba-Chol_1,0,0,0,0,179,0,1,1,1,1,787,143,1,0,0,1,9,0,1,2,5,38,1,0
0260 PAL-STR Gaba-Chol_2,0,0,2,0,29,0,0,0,17,0,259,1874,0,0,0,0,0,0,0,0,0,10,2,0
0261 PAL-STR Gaba-Chol_3,0,0,0,0,22,0,1,0,0,0,141,41,0,0,0,0,1,0,0,0,1,0,0,0
0262 OT D3 Folh1 Gaba_1,0,0,1,0,23,0,0,0,52,0,2277,9915,1,0,0,1,14,0,0,0,0,0,0,0
0263 OT D3 Folh1 Gaba_2,0,0,0,0,0,0,0,0,0,0,53,135,0,0,0,0,0,0,1,0,0,0,0,0
0264 OT D3 Folh1 Gaba_3,0,0,2,0,0,2,0,0,1436,0,88,3868,1,0,0,0,1,0,84,0,0,0,0,0
0265 STR D1 Gaba_1,0,0,0,0,38,0,0,0,9,0,521,2292,0,0,0,0,1,0,0,0,0,3,11,0
0266 STR D1 Gaba_2,0,0,1,0,0,0,0,0,0,0,3,178,0,0,0,0,0,0,0,0,0,0,0,0
0267 STR D1 Gaba_3,0,0,11,0,0,14,0,1,12,0,118,61886,0,0,0,55,0,0,11,0,0,250,16,4
0268 STR D1 Gaba_4,0,0,72,0,0,44,0,0,24,0,14,9603,0,0,0,10,0,0,1,0,0,384,1,8
0269 STR D1 Gaba_5,0,0,0,0,0,1,0,0,0,0,33,1033,0,0,0,0,0,0,0,0,0,17,6,0
0270 STR D1 Gaba_6,0,0,5,1,6,5,0,1,309,0,1037,20538,0,0,0,20,1,0,29,0,0,33,7,0
0271 STR D1 Gaba_7,0,1,38,6,0,0,0,0,0,0,23,2154,0,0,0,48,2,0,0,0,0,114,10,0
0272 STR D1 Gaba_8,0,0,1,0,2,0,0,0,18,0,215,3170,0,0,0,10,0,0,22,0,1,38,20,0
0273 STR D1 Gaba_9,0,0,0,0,1,1,0,0,31,0,9,5188,0,0,0,12,0,0,21,0,0,5,0,0
0274 STR D2 Gaba_1,0,0,34,2,1,0,0,0,0,0,33,3270,0,0,0,28,0,0,0,0,0,27,4,0
0275 STR D2 Gaba_2,0,0,23,2,20,11,2,0,153,1,1245,25705,0,0,0,63,0,0,49,0,0,105,22,0
0276 STR D2 Gaba_3,0,0,36,1,3,5,0,0,13,0,143,1330,0,0,0,8,1,0,5,0,1,29,21,0
0277 STR D2 Gaba_4,0,0,84,3,1,47,2,0,39,0,104,54010,0,0,0,42,0,0,12,0,1,567,11,9
0278 STR D2 Gaba_5,0,0,1,0,11,0,0,0,7,0,93,1357,0,0,0,6,0,0,12,0,0,16,4,0
0279 STR D2 Gaba_6,0,0,9,0,0,5,0,0,77,0,19,3129,0,0,0,7,0,0,12,0,0,36,1,2
0280 STR D2 Gaba_7,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
0281 STR D1 Sema5a Gaba_1,0,0,33,0,0,15,1,0,6,0,13,2370,0,0,0,6,0,0,3,0,0,59,0,1
0282 STR D1 Sema5a Gaba_2,0,0,4,0,0,1,0,0,114,0,52,3244,0,0,0,24,0,0,12,0,0,18,3,0
0283 STR D1 Sema5a Gaba_3,0,0,36,0,1,0,0,0,274,0,209,2263,0,0,0,0,0,0,1,0,0,7,3,0
0284 STR D1 Sema5a Gaba_4,0,0,84,0,2,10,0,0,73,0,135,2030,0,0,0,12,1,0,12,0,1,56,37,0
0285 STR-PAL Chst9 Gaba_1,0,0,101,0,27,63,0,0,328,0,409,2459,1,0,0,6,0,0,37,0,1,232,31,4
0286 STR-PAL Chst9 Gaba_2,0,0,1167,2,105,74,0,0,290,0,501,2387,9,0,0,15,8,0,41,0,36,214,203,2
0287 STR-PAL Chst9 Gaba_3,0,0,201,3,80,20,0,0,91,0,778,2796,2,0,0,34,3,0,42,0,8,94,82,1
0288 STR-PAL Chst9 Gaba_4,0,0,1357,9,50,6,0,0,69,0,377,3354,4,0,0,79,9,0,25,1,14,44,129,0
0289 STR-PAL Chst9 Gaba_5,0,0,301,0,7,2,1,0,53,0,6,399,1,0,0,2,0,0,2,0,0,6,10,0
0290 IA Mgp Gaba_1,0,0,53,1,1,0,0,0,40,0,9,21,0,0,0,0,0,0,1,0,0,0,3,0
0291 IA Mgp Gaba_2,0,0,108,0,0,0,0,0,10,0,1,45,0,0,0,0,0,0,0,0,0,1,0,0
0292 IA Mgp Gaba_3,0,0,71,0,1,9,0,0,15,0,0,53,0,0,0,0,0,0,0,0,0,4,4,0
0293 IA Mgp Gaba_4,0,0,6,0,0,2,0,0,265,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0
0294 IA Mgp Gaba_5,0,0,20,0,0,0,0,0,5,0,7,38,0,0,0,0,0,0,0,0,0,2,1,0
0295 NDB-SI-ant Prdm12 Gaba_1,0,0,14,0,10,4,0,0,987,0,192,574,0,0,0,0,1,0,63,0,0,1,1,0
0296 NDB-SI-ant Prdm12 Gaba_2,0,0,0,0,0,1,0,0,8,0,10,34,0,0,0,0,0,0,0,0,0,0,1,0
0297 NDB-SI-ant Prdm12 Gaba_3,0,0,1,0,0,3,0,0,220,0,14,29,0,0,0,0,0,0,8,0,0,0,0,0
0298 NDB-SI-ant Prdm12 Gaba_4,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0299 LSX Sall3 Pax6 Gaba_1,0,0,0,0,0,1,0,0,117,0,19,126,1,0,0,0,0,0,2,0,2,0,1,0
0300 LSX Sall3 Pax6 Gaba_2,0,0,0,0,2,0,1,0,5,0,53,383,0,0,0,0,1,0,0,0,1,0,22,0
0301 LSX Otx2 Gaba_1,0,0,0,0,2,0,0,0,0,0,21,328,0,1,1,8,0,0,0,0,0,0,2,0
0302 LSX Otx2 Gaba_2,0,0,0,0,2,0,0,0,0,0,49,341,3,0,1,11,0,0,0,0,0,0,5,0
0303 LSX Otx2 Gaba_3,0,0,0,0,8,0,0,0,0,0,41,555,0,10,1,1,0,0,0,0,0,0,5,0
0304 LSX Otx2 Gaba_4,0,0,0,0,0,0,0,0,0,0,3,94,0,0,0,1,0,0,0,0,0,0,0,0
0305 LSX Otx2 Gaba_5,0,0,0,0,2,0,0,0,9,0,10,167,0,0,0,0,0,0,0,0,0,0,0,0
0306 LSX Nkx2-1 Gaba_1,0,0,0,0,0,0,0,0,1,0,1,65,0,0,0,1,0,0,0,0,0,1,0,0
0307 LSX Nkx2-1 Gaba_2,0,0,0,0,0,0,0,0,2,0,3,492,0,0,0,10,1,0,0,0,0,0,0,0
0308 LSX Nkx2-1 Gaba_3,4,0,0,0,17,0,0,0,5,0,63,346,1,7,1,5,1,0,3,0,0,0,3,0
0309 LSX Nkx2-1 Gaba_4,0,0,0,0,2,0,0,0,2,0,15,414,0,0,0,0,0,0,0,0,0,0,0,0
0310 LSX Nkx2-1 Gaba_5,0,0,0,0,1,0,0,0,0,0,1,278,0,1,0,0,0,0,0,0,0,0,0,0
0311 LSX Nkx2-1 Gaba_6,0,0,0,0,0,0,0,0,0,0,3,124,0,1,0,2,0,0,0,0,0,0,0,0
0312 LSX Nkx2-1 Gaba_7,0,0,0,0,0,0,0,0,0,0,10,241,0,2,0,0,0,0,0,0,0,0,0,0
0313 LSX Nkx2-1 Gaba_8,0,0,0,0,1,0,0,0,4,0,1,104,0,0,0,0,0,0,0,0,0,1,0,0
0314 LSX Nkx2-1 Gaba_9,0,0,0,0,0,0,0,0,0,0,1,161,0,0,0,0,0,0,0,0,0,0,1,0
0315 LSX Nkx2-1 Gaba_10,0,0,0,0,0,0,0,0,1,0,5,167,0,0,0,0,2,0,0,0,0,3,5,0
0316 LSX Nkx2-1 Gaba_11,0,0,0,0,0,0,0,0,1,0,9,146,1,0,0,0,2,0,0,0,0,4,7,0
0317 LSX Prdm12 Slit2 Gaba_1,0,0,1,0,0,0,0,0,35,0,4,1196,0,0,0,6,0,0,0,0,0,4,0,0
0318 LSX Prdm12 Slit2 Gaba_2,0,0,0,0,0,0,0,0,3,0,3,648,0,0,0,0,0,0,0,0,0,0,0,0
0319 LSX Prdm12 Slit2 Gaba_3,0,0,0,0,0,0,0,0,17,0,15,582,0,0,0,2,0,0,0,0,0,8,1,0
0320 LSX Prdm12 Slit2 Gaba_4,0,0,0,0,0,1,0,0,67,0,0,98,0,0,0,0,0,0,0,0,0,2,0,0
0321 LSX Prdm12 Slit2 Gaba_5,0,0,0,0,0,0,0,0,7,0,11,369,0,0,0,10,0,0,0,0,0,4,0,0
0322 LSX Prdm12 Slit2 Gaba_6,0,0,0,0,0,0,0,0,0,0,53,54,0,0,0,0,1,0,0,0,0,0,21,0
0323 LSX Prdm12 Slit2 Gaba_7,0,0,0,0,0,0,0,0,2,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0
0324 LSX Prdm12 Slit2 Gaba_8,0,0,0,0,0,0,0,0,0,0,68,282,0,2,0,10,0,0,0,0,0,0,28,0
0325 LSX Prdm12 Slit2 Gaba_9,0,0,0,0,0,0,0,0,0,0,12,69,0,0,0,0,1,0,0,0,0,0,9,0
0326 LSX Prdm12 Zeb2 Gaba_1,0,0,0,2,0,0,0,0,12,0,13,1904,0,0,0,37,15,0,0,0,0,120,59,0
0327 LSX Prdm12 Zeb2 Gaba_2,0,0,0,4,0,0,0,0,4,0,3,767,0,0,0,37,4,0,0,0,0,18,71,0
0328 LSX Prdm12 Zeb2 Gaba_3,0,0,0,0,0,1,0,0,9,0,4,292,0,0,0,15,0,0,0,0,0,12,0,0
0329 LSX Prdm12 Zeb2 Gaba_4,0,0,0,0,0,0,0,0,3,0,3,652,0,0,0,0,4,0,0,0,0,8,4,0
0330 LSX Prdm12 Zeb2 Gaba_5,0,0,0,0,0,0,0,0,0,0,4,203,0,0,0,1,0,0,0,0,0,1,0,0
0331 LSX Sall3 Lmo1 Gaba_1,0,0,0,0,0,0,0,0,0,0,3,67,0,0,0,1,0,0,0,0,0,0,1,0
0332 LSX Sall3 Lmo1 Gaba_2,0,0,0,1,0,0,0,0,0,0,5,278,0,0,0,5,0,0,0,0,0,0,0,0
0333 LSX Sall3 Lmo1 Gaba_3,0,0,0,13,0,0,0,0,31,0,25,428,0,0,0,0,43,0,0,0,0,18,70,0
0334 LSX Sall3 Lmo1 Gaba_4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0335 LSX Sall3 Lmo1 Gaba_5,0,0,0,0,0,0,0,0,0,0,9,85,0,0,0,0,0,0,0,0,0,0,5,0
0336 LSX Sall3 Lmo1 Gaba_6,0,0,0,3,0,1,0,0,12,0,80,335,0,1,0,0,13,0,0,0,0,2,57,0
0337 MEA-BST Sox6 Gaba_1,0,2,7,1,6,0,0,0,34,0,12,80,1,4,1,2,0,0,1,0,0,0,3,0
0338 MEA-BST Sox6 Gaba_2,1,1,1,2,17,0,1,0,101,0,24,171,1,1,1,3,2,0,3,0,0,0,3,0
0339 MEA-BST Sox6 Gaba_3,1,2,1,0,32,0,1,0,12,0,23,86,0,3,2,2,1,0,2,0,3,1,0,0
0340 MEA-BST Sox6 Gaba_4,1,0,6,0,4,0,0,0,50,0,5,57,0,1,2,1,4,0,1,0,0,1,2,0
0341 MEA-BST Sox6 Gaba_5,1,1,7,1,16,0,0,1,115,0,22,93,0,6,1,11,1,0,4,0,0,2,1,0
0342 MEA-BST Sox6 Gaba_6,0,1,19,0,8,0,1,0,23,0,10,189,0,0,0,3,1,0,1,0,0,1,4,0
0343 MEA-BST Sox6 Gaba_7,0,1,2,1,186,0,0,0,2,0,184,165,1,0,0,2,0,0,0,0,1,0,20,0
0344 MEA-BST Sox6 Gaba_8,0,1,1,0,5,0,0,0,1,0,6,59,0,0,0,1,0,0,0,0,1,0,1,0
0345 MEA-BST Sox6 Gaba_9,0,1,15,2,9,2,0,0,57,0,16,70,1,0,0,0,0,0,0,0,0,0,4,0
0346 MEA-BST Sox6 Gaba_10,0,1,10,0,25,0,0,0,7,0,29,35,2,0,0,1,0,0,0,0,0,2,5,0
0347 MEA-BST Lhx6 Sp9 Gaba_1,0,0,0,0,7,0,0,0,0,1,30,194,1,0,0,0,0,0,3,0,4,0,11,0
0348 MEA-BST Lhx6 Sp9 Gaba_2,0,0,0,0,23,0,0,0,0,0,22,14,0,0,0,0,0,0,0,0,4,0,6,0
0349 MEA-BST Lhx6 Sp9 Gaba_3,0,0,4,0,13,2,0,0,13,0,12,56,0,0,0,0,0,0,1,0,1,0,4,0
0350 MEA-BST Lhx6 Sp9 Gaba_4,0,0,6,0,5,0,0,0,12,0,12,147,0,0,0,0,0,0,1,0,1,0,3,0
0351 MEA-BST Lhx6 Sp9 Gaba_5,0,0,4,0,11,0,0,0,6,0,25,103,0,0,0,0,0,0,0,0,0,1,10,0
0352 MEA-BST Lhx6 Sp9 Gaba_6,0,0,0,0,4,1,0,0,0,0,57,93,2,1,0,2,0,0,0,0,2,0,8,0
0353 MEA-BST Lhx6 Sp9 Gaba_7,0,0,0,1,68,0,1,1,1,0,26,4,1,0,0,0,0,0,0,0,0,0,3,0
0354 MEA-BST Lhx6 Nr2e1 Gaba_1,0,0,3,0,1,0,0,0,3,0,4,79,0,0,0,0,0,0,0,0,2,0,2,0
0355 MEA-BST Lhx6 Nr2e1 Gaba_2,0,2,46,0,30,0,0,0,11,0,69,137,1,0,0,1,3,0,2,0,4,0,10,0
0356 MEA-BST Lhx6 Nr2e1 Gaba_3,0,0,14,0,0,0,0,0,6,0,1,14,0,0,0,0,0,0,0,0,0,0,2,0
0357 MEA-BST Lhx6 Nfib Gaba_1,0,0,4,1,115,0,0,0,4,0,117,88,1,0,0,2,2,0,3,0,25,0,17,0
0358 MEA-BST Lhx6 Nfib Gaba_2,0,0,10,2,16,0,0,0,9,0,205,225,1,1,0,1,3,0,35,0,9,0,40,0
0359 MEA-BST Lhx6 Nfib Gaba_3,0,0,8,1,2,0,0,0,2,0,35,347,0,3,0,3,2,0,25,0,19,1,1,0
0360 MEA-BST Lhx6 Nfib Gaba_4,0,0,0,0,86,0,0,0,0,0,15,4,0,2,0,1,0,0,0,0,2,0,3,0
0361 MEA-BST Lhx6 Nfib Gaba_5,0,0,0,0,196,0,0,0,2,0,37,3,4,0,0,0,1,0,4,0,3,0,13,0
0362 MEA-BST Lhx6 Nfib Gaba_6,0,0,10,9,35,0,0,0,15,0,47,160,1,0,0,0,0,0,2,0,3,0,8,0
0363 CEA-BST Gal Avp Gaba_1,0,0,0,0,15,0,0,0,0,0,50,58,0,0,0,0,0,0,0,0,2,0,8,0
0364 SI-MA-ACB Ebf1 Bnc2 Gaba_1,0,0,0,0,13,0,0,0,7,0,112,156,0,0,0,0,0,0,0,0,0,0,0,0
0365 SI-MA-ACB Ebf1 Bnc2 Gaba_2,0,10,1,0,9,0,0,0,6,0,72,106,0,0,0,0,0,0,0,0,0,0,0,0
0366 SI-MA-ACB Ebf1 Bnc2 Gaba_3,0,0,0,0,10,0,0,0,4,0,30,23,0,0,0,0,0,0,0,0,0,0,0,0
0367 CEA-BST Six3 Cyp26b1 Gaba_1,0,0,0,0,3,0,0,0,0,0,92,78,0,0,0,0,0,0,1,0,0,2,7,0
0368 CEA-BST Six3 Cyp26b1 Gaba_2,0,0,5,1,0,0,0,0,0,0,149,839,0,0,0,3,0,0,0,0,5,5,6,0
0369 CEA-BST Six3 Cyp26b1 Gaba_3,0,0,0,0,0,0,0,0,0,0,37,74,0,0,0,0,0,0,0,0,1,0,4,0
0370 CEA-BST Six3 Cyp26b1 Gaba_4,0,0,0,0,0,0,0,0,0,0,19,291,0,0,0,0,0,0,0,0,0,1,2,0
0371 CEA-BST Six3 Cyp26b1 Gaba_5,0,0,14,0,0,0,0,0,1,0,21,935,0,0,0,33,0,0,0,0,1,4,1,0
0372 CEA-BST Six3 Cyp26b1 Gaba_6,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,2,0,0
0373 CEA-AAA-BST Six3 Sp9 Gaba_1,0,1,17,0,46,0,0,0,20,0,62,105,0,0,0,0,0,0,1,0,0,0,5,0
0374 CEA-AAA-BST Six3 Sp9 Gaba_2,0,0,44,0,22,3,0,0,18,0,87,443,0,0,0,0,0,0,1,0,0,0,4,0
0375 CEA-AAA-BST Six3 Sp9 Gaba_3,0,1,1,0,6,0,0,0,1,0,47,35,0,0,0,0,0,0,1,0,1,0,1,0
0376 CEA-AAA-BST Six3 Sp9 Gaba_4,0,0,40,0,1,0,0,0,33,0,6,102,0,0,0,0,0,0,0,0,0,0,0,0
0377 CEA-AAA-BST Six3 Sp9 Gaba_5,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0378 CEA-AAA-BST Six3 Sp9 Gaba_6,0,0,11,0,1,0,0,0,13,0,25,111,0,0,0,0,0,0,0,0,0,0,2,0
0379 CEA-AAA-BST Six3 Sp9 Gaba_7,0,0,0,0,1,0,0,0,0,0,18,14,0,0,0,1,0,0,0,0,0,0,1,0
0380 CEA-AAA-BST Six3 Sp9 Gaba_8,0,0,36,0,0,10,0,0,33,0,1,51,0,0,0,0,0,0,0,0,0,1,1,0
0381 ACB-BST-FS D1 Gaba_1,0,0,0,0,12,0,0,0,0,0,123,17,0,0,0,0,0,0,2,0,0,0,3,0
0382 ACB-BST-FS D1 Gaba_2,0,0,4,0,23,0,0,0,6,0,233,315,0,0,0,0,0,0,2,0,0,0,5,0
0383 ACB-BST-FS D1 Gaba_3,0,0,1,0,53,0,0,0,0,0,441,120,0,0,0,0,0,0,6,0,0,0,6,0
0384 CEA-BST Ebf1 Pdyn Gaba_1,4,0,2,1,58,0,1,1,0,0,557,973,3,5,4,10,1,0,5,0,2,42,28,0
0385 CEA-BST Ebf1 Pdyn Gaba_2,0,0,0,0,1,0,0,0,0,0,23,142,0,1,0,0,0,0,0,0,0,0,0,0
0386 CEA-BST Ebf1 Pdyn Gaba_3,0,0,0,0,1,0,0,0,0,0,186,722,0,0,1,3,0,0,1,0,0,9,8,0
0387 CEA-BST Ebf1 Pdyn Gaba_4,0,0,0,0,1,0,0,0,0,0,21,69,1,0,0,0,0,0,0,0,0,1,2,0
0388 CEA-BST Ebf1 Pdyn Gaba_5,0,0,0,0,0,0,0,0,0,0,9,52,0,0,0,1,0,0,0,0,0,2,0,0
0389 CEA-BST Ebf1 Pdyn Gaba_6,0,0,0,0,0,0,0,1,0,0,16,91,0,1,0,0,0,0,1,0,1,3,6,0
0390 CEA-BST Ebf1 Pdyn Gaba_7,0,0,0,0,0,0,0,0,1,0,6,21,0,1,0,0,0,0,0,0,0,0,1,0
0391 CEA-BST Ebf1 Pdyn Gaba_8,0,0,0,0,0,0,0,0,0,0,13,30,0,0,0,1,0,0,0,0,0,2,0,0
0392 CEA-BST Rai14 Pdyn Crh Gaba_1,0,0,0,0,2,0,0,0,0,0,49,33,0,0,0,0,0,0,0,0,2,8,4,0
0393 CEA-BST Rai14 Pdyn Crh Gaba_2,0,0,1,0,32,0,0,0,0,0,166,48,0,0,0,3,0,0,2,0,1,1,0,0
0394 BST-SI-AAA Six3 Slc22a3 Gaba_1,0,0,0,0,97,0,0,0,1,0,46,28,0,0,0,0,1,0,0,0,0,0,1,0
0395 BST-SI-AAA Six3 Slc22a3 Gaba_2,0,0,0,0,67,0,0,0,0,0,45,26,0,0,0,0,0,0,1,0,0,0,0,0
0396 SI-MPO-LPO Lhx8 Gaba_1,0,0,1,0,230,0,0,0,5,0,541,146,0,0,0,0,0,0,1,0,0,7,1,0
0397 SI-MPO-LPO Lhx8 Gaba_2,0,0,0,0,532,0,0,0,0,0,61,47,0,3,0,0,1,0,2,0,4,0,0,0
0398 SI-MPO-LPO Lhx8 Gaba_3,0,0,0,0,260,0,0,0,0,0,8,19,0,4,0,0,1,0,3,0,5,0,4,0
0399 SI-MPO-LPO Lhx8 Gaba_4,0,0,0,0,175,0,0,0,0,0,25,16,0,3,0,0,0,0,2,0,2,0,0,0
0400 SI-MPO-LPO Lhx8 Gaba_5,0,0,0,0,101,0,0,0,0,0,46,30,0,0,0,0,0,0,0,0,0,2,0,0
0401 SI-MPO-LPO Lhx8 Gaba_6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0402 MPO-ADP Lhx8 Gaba_1,0,0,0,0,112,0,1,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,2,0
