supertype,AQ,CB,CTXsp,HPF,HY,Isocortex,MB,MY,OLF,P,PAL,STR,TH,V3,V4,VL,brain-unassigned,cbf,cm,eps,fiber tracts-unassigned,lfbs,mfbs,scwm
0047 IT AON-TT-DP Glut_2,0,0,11,1,0,2,0,0,4344,0,0,51,0,0,0,0,0,0,37,0,0,1,0,0
0048 IT AON-TT-DP Glut_3,0,0,0,0,0,1,0,0,5046,0,0,0,0,0,0,0,0,0,454,0,0,1,0,0
0049 IT AON-TT-DP Glut_4,0,0,19,0,0,1,0,0,967,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0
0050 IT AON-TT-DP Glut_5,0,0,7,2,1,10,0,0,12947,0,0,4,0,0,0,0,0,0,916,0,0,1,0,0
0051 L2 IT ENT-po Glut_1,0,0,0,946,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0052 L2 IT ENT-po Glut_2,0,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053 L2 IT ENT-po Glut_3,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0054 L2 IT ENT-po Glut_4,0,0,0,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0055 MEA Slc17a7 Glut_1,0,0,763,25,0,0,0,0,26,0,0,985,0,0,0,12,17,0,0,0,17,0,40,0
0056 MEA Slc17a7 Glut_2,0,1,61,2,28,8,0,2,101,0,39,207,0,0,0,3,0,0,2,0,4,1,12,0
0057 MEA Slc17a7 Glut_3,0,0,196,15,0,0,0,0,357,0,0,999,0,0,0,0,11,0,11,0,26,0,0,0
0058 COAp Grxcr2 Glut_1,0,0,115,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0059 COAp Grxcr2 Glut_2,0,0,222,30,0,4,0,0,4723,0,0,88,0,0,0,0,0,0,1,0,0,0,0,0
0060 LA-BLA-BMA-PA Glut_1,0,0,1779,51,0,0,0,0,93,0,0,11,0,0,0,4,4,0,0,0,13,1,37,0
0061 LA-BLA-BMA-PA Glut_2,0,0,2532,32,0,0,0,0,414,0,0,12,0,0,0,11,29,0,1,0,3,2,25,0
0062 LA-BLA-BMA-PA Glut_3,0,0,3311,4,0,3,0,0,13,0,0,736,0,0,0,11,0,0,0,0,0,97,119,0
0063 LA-BLA-BMA-PA Glut_4,0,0,1251,1,0,0,0,0,54,0,0,425,0,0,0,28,0,0,0,0,19,2,2,0
0064 LA-BLA-BMA-PA Glut_5,0,0,956,28,0,0,0,0,7,0,0,751,0,0,0,0,1,0,0,0,0,60,5,0
0065 LA-BLA-BMA-PA Glut_6,0,0,698,0,0,0,0,0,2,0,0,36,0,0,0,6,0,0,0,0,0,7,71,0
0066 ENTmv-PA-COAp Glut_1,0,0,262,261,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0067 ENTmv-PA-COAp Glut_2,0,0,41,312,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0068 ENTmv-PA-COAp Glut_3,0,0,60,165,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0069 CA1-ProS Glut_1,0,0,3,28403,0,1,0,0,1,0,0,1,0,4,0,6,16,0,0,0,0,6,41,0
0070 CA1-ProS Glut_2,0,0,2,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0071 CA1-ProS Glut_3,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
0072 CA1-ProS Glut_4,0,0,3,3633,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0073 CA1-ProS Glut_5,0,0,25,1450,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,27,0
0074 CA1-ProS Glut_6,0,0,0,1328,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
0075 CA3 Glut_1,0,0,10,2110,0,0,0,0,0,0,0,0,6,0,0,1,10,0,0,0,3,2,23,0
0076 CA3 Glut_2,0,0,139,1502,0,0,16,0,0,0,0,44,0,0,0,0,10,0,0,0,6,29,11,0
0077 CA3 Glut_3,0,0,35,3280,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,9,48,37,0
0078 CA3 Glut_4,0,0,0,9116,0,0,0,0,0,0,0,0,13,0,0,0,12,0,3,0,8,0,54,0
0079 CA3 Glut_5,0,0,1,1577,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,8,22,10,0
0080 L2 IT PPP-APr Glut_1,0,0,0,546,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0081 L2 IT PPP-APr Glut_2,0,0,0,1034,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0082 L2 IT PPP-APr Glut_3,0,0,1,635,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0083 L2 IT PPP-APr Glut_4,0,0,0,385,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0084 L2/3 IT PPP Glut_1,0,0,0,2296,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0085 L2/3 IT PPP Glut_2,0,0,1,10717,0,270,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1
0086 L2/3 IT PPP Glut_3,0,0,0,5066,0,533,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0087 L2/3 IT RSP Glut_1,0,0,1,47,0,6373,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0088 L2/3 IT RSP Glut_2,0,0,8,831,0,23620,60,0,1,0,0,0,0,0,0,0,2,0,0,0,0,148,4,0
0089 L4 RSP-ACA Glut_1,0,0,0,47,0,4304,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
0090 L5 ET CTX Glut_1,0,0,0,2,0,8101,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0091 L5 ET CTX Glut_2,0,0,0,2,0,6879,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
0092 L5 ET CTX Glut_3,0,0,0,6,0,3739,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
0093 L5 ET CTX Glut_4,0,0,0,2,0,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0094 L5 ET CTX Glut_5,0,0,0,14,0,4475,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0095 L5 ET CTX Glut_6,0,0,0,146,0,3988,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18,1,0
0096 SUB-ProS Glut_1,0,0,0,4000,0,50,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,52,0
0097 SUB-ProS Glut_2,0,0,117,2780,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,29,61,0
0098 SUB-ProS Glut_3,0,0,0,1605,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,64,0
0099 L5 PPP Glut_1,0,0,0,599,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
0100 CA2-FC-IG Glut_1,0,0,0,1791,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0
0101 CA2-FC-IG Glut_2,0,0,0,789,0,223,0,0,177,0,0,37,0,12,0,15,65,0,0,0,0,285,146,0
0102 NLOT Rho Glut_1,0,0,32,0,0,0,0,0,736,0,0,358,0,0,0,0,0,0,0,0,0,0,6,0
0103 L6b EPd Glut_1,0,0,15,0,0,1,0,0,10,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0
0104 L6b EPd Glut_2,0,0,399,1,0,24,0,0,11,0,0,28,0,0,0,0,0,0,0,0,0,37,25,0
0105 L6b EPd Glut_3,0,0,828,22,0,26,0,0,66,0,0,34,0,0,0,0,0,0,0,0,0,53,47,0
0106 L6b/CT ENT Glut_1,0,0,112,3361,0,46,0,0,27,0,0,0,0,0,0,2,2,0,0,0,0,130,58,1
0107 L6b/CT ENT Glut_2,0,0,76,751,0,3,0,0,40,0,0,1,0,0,0,0,5,0,0,0,0,74,81,2
0108 L6b/CT ENT Glut_3,0,0,2,145,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
0109 L6b/CT ENT Glut_4,0,0,23,7610,0,228,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,154,43,3
0110 L6b CTX Glut_1,0,0,26,22,0,400,0,0,32,0,0,20,0,0,0,0,0,0,1,0,0,376,307,585
0111 L6b CTX Glut_2,0,0,38,42,0,873,0,0,3,0,0,69,0,0,0,4,0,0,0,0,0,1324,362,1661
0112 L6b CTX Glut_3,0,0,13,11,0,456,0,0,25,0,0,16,0,0,0,0,0,0,0,0,0,359,286,449
0113 L6b CTX Glut_4,0,0,2,32,0,423,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,43,73,92
0114 L6 CT CTX Glut_1,0,0,52,43,0,31626,1,0,29,0,0,3,0,0,0,0,0,0,0,0,0,87,189,546
0115 L6 CT CTX Glut_2,0,0,26,13,0,37701,0,0,20,0,0,9,0,0,0,0,0,0,0,0,0,174,543,836
0116 L6 CT CTX Glut_3,0,0,2,20,0,3944,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,26,364,19
0117 L6 CT CTX Glut_4,0,0,1,55,0,1883,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,12,70,6
0118 L6 CT CTX Glut_5,0,0,432,110,0,13800,0,0,786,0,0,159,0,0,0,5,2,0,0,0,0,506,401,370
